instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_edge_trim_value,new_rolled_leftover_value,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value
bf_qcv_045,period_1,1,40,1612333.01,1577696.16,0.0,22.95,708.09,17324.54,16581.51,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_2,2,35,1444337.72,1413510.51,0.0,19.45,624.99,15481.06,14702.1,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_3,3,44,1802359.15,1764001.45,0.0,21.26,776.64,18930.24,18629.0,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_4,4,30,1224864.3,1196975.42,0.0,16.6,531.79,14752.15,12588.4,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_5,5,50,1940985.35,1903029.38,0.0,25.7,888.98,17149.9,19891.79,0.0,0,0,0.0,0.0,0.0
bf_sae1006_045,period_1,1,48,2014610.37,1954070.48,4430.69,57.74,825.37,35351.52,19874.22,0.0,0,0,0.0,0.0,0.0
bf_sae1006_045,period_2,2,50,2037865.17,1963436.66,5752.93,33.77,850.86,47403.33,20386.95,0.0,3,3,4430.69,3899.73,530.96
bf_sae1006_045,period_3,3,53,2233812.24,2166195.36,5180.48,47.5,919.62,39582.95,21885.86,0.0,7,7,16652.0,14620.06,2031.94
bf_sae1006_045,period_4,4,36,1519118.61,1473294.97,4350.44,16.92,638.96,26259.84,14557.36,0.0,5,5,5180.48,5115.35,65.13
bf_sae1006_045,period_5,5,61,2496583.36,2412573.46,13839.6,22.4,1049.01,44109.43,24989.39,0.0,3,3,4350.44,4048.34,302.1
bf_sae1006_050,period_1,1,4,177663.5,139453.33,713.85,0.0,76.08,35939.72,1480.48,0.0,0,0,0.0,0.0,0.0
bf_sae1006_050,period_2,2,3,131588.05,99336.21,1571.54,0.0,56.61,29527.19,1096.52,0.0,6,6,36653.56,34317.31,2336.26
bf_sae1006_050,period_3,3,3,131678.29,122360.37,1807.16,0.0,71.74,1425.63,1056.02,4957.36,5,5,31098.72,29592.32,1506.41
bf_sae1006_050,period_4,4,3,131588.05,115116.85,1953.74,0.0,65.18,13355.71,1096.52,0.0,2,2,6764.52,6641.34,123.18
bf_sae1006_050,period_5,5,4,184056.61,177654.1,2702.45,0.0,95.65,2070.62,1533.78,0.0,5,5,15309.45,13505.23,1804.22
bz_nbr7008_043,period_1,1,21,898083.74,804763.24,5749.26,14.48,364.22,78284.76,8907.72,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,19,836594.29,741824.37,8917.06,0.0,351.19,77598.9,7902.71,0.0,18,15,69161.58,16486.39,52675.19
bz_nbr7008_043,period_3,3,19,871311.3,800122.7,2375.02,64.54,336.62,59746.65,8665.87,0.0,14,9,73097.57,23090.64,50006.93
bz_nbr7008_043,period_4,4,16,713824.22,645499.04,8663.86,45.58,302.11,52607.25,6706.33,0.0,12,12,44451.52,13166.16,31285.35
bz_nbr7008_043,period_5,5,23,1106941.12,1016399.28,8287.87,8.15,438.47,71383.91,10423.43,0.0,11,11,46049.66,27122.64,18927.01
bz_nbr7008_075,period_1,1,6,215298.54,192612.48,9225.29,0.0,178.49,11129.3,2153.03,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,5,183179.88,155692.35,15186.02,0.0,147.86,10321.84,1831.82,0.0,8,8,20177.17,10854.15,9323.03
bz_nbr7008_075,period_3,3,6,214525.88,177239.29,873.5,0.0,159.21,34108.67,2145.32,0.0,7,7,25394.21,17372.78,8021.43
bz_nbr7008_075,period_4,4,5,175691.62,131695.7,18576.91,0.0,136.51,23525.6,1756.95,0.0,7,6,34851.71,24926.59,9925.12
bz_nbr7008_075,period_5,5,6,217718.47,188567.06,9048.25,0.0,173.4,17752.63,2177.23,0.0,8,8,41999.59,34457.51,7542.08
bz_nbr7008_095,period_1,1,6,315124.26,292911.56,942.96,0.0,227.7,17890.69,3151.24,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,6,310105.84,266555.96,6254.79,0.0,214.39,33979.63,3101.06,0.0,6,6,18054.2,13510.88,4543.32
bz_nbr7008_095,period_3,3,7,369128.49,322158.82,11428.44,0.0,254.6,31595.39,3691.29,0.0,8,8,40234.37,33864.67,6369.7
bz_nbr7008_095,period_4,4,5,248862.12,218356.09,3057.22,0.0,180.4,24779.77,2488.64,0.0,10,10,43023.84,37176.44,5847.39
bz_nbr7008_095,period_5,5,6,312157.21,303373.07,748.49,0.0,236.58,4677.44,3121.58,0.0,9,9,27837.04,24081.51,3755.54
