instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.86,1.07,1.07,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.88,1.06,1.06,86.61,13.39,0.0
bf_qcv_045,period_3,3,97.89,1.04,1.07,0.0,0.0,0.0
bf_qcv_045,period_4,4,97.74,1.19,1.07,0.0,0.0,0.0
bf_qcv_045,period_5,5,97.91,1.03,1.07,0.0,0.0,0.0
bf_sae1006_045,period_1,1,96.91,2.06,1.03,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.45,2.52,1.03,90.35,9.65,0.26
bf_sae1006_045,period_3,3,97.26,1.7,1.04,88.15,11.85,0.37
bf_sae1006_045,period_4,4,96.64,2.35,1.01,98.49,1.51,0.08
bf_sae1006_045,period_5,5,96.76,2.18,1.06,99.49,0.51,0.35
bf_sae1006_050,period_1,1,78.49,20.72,0.78,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.55,23.67,0.78,93.0,7.0,25.62
bf_sae1006_050,period_3,3,93.08,6.03,0.89,94.61,5.39,19.39
bf_sae1006_050,period_4,4,87.63,11.48,0.88,92.4,7.6,5.29
bf_sae1006_050,period_5,5,94.48,4.63,0.88,88.31,11.69,6.98
bz_nbr7008_043,period_1,1,94.43,4.55,1.02,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,92.47,6.53,1.0,96.61,3.39,1.24
bz_nbr7008_043,period_3,3,94.04,4.97,0.99,83.87,16.13,2.58
bz_nbr7008_043,period_4,4,93.11,5.92,0.98,94.95,5.05,1.54
bz_nbr7008_043,period_5,5,94.23,4.79,0.98,92.42,7.58,1.33
bz_nbr7008_075,period_1,1,89.46,9.49,1.05,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.7,13.3,1.0,64.57,35.43,7.87
bz_nbr7008_075,period_3,3,93.56,5.34,1.1,81.76,18.24,9.94
bz_nbr7008_075,period_4,4,83.53,15.39,1.08,62.89,37.11,3.95
bz_nbr7008_075,period_5,5,87.4,11.52,1.08,79.03,20.97,9.78
bz_nbr7008_095,period_1,1,95.85,3.08,1.08,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,90.99,7.99,1.02,98.8,1.2,1.43
bz_nbr7008_095,period_3,3,94.18,4.75,1.08,98.28,1.72,5.27
bz_nbr7008_095,period_4,4,96.05,2.87,1.08,81.38,18.62,4.35
bz_nbr7008_095,period_5,5,96.18,2.75,1.07,97.57,2.43,1.12
