instancia,periodo,constraints,variables,gap_percent,file
bf_qcv_045,period_1,62480,49980,0.0669,output/bf_qcv_045/period_1/gurobi.log
bf_qcv_045,period_2,62480,49980,0.0553,output/bf_qcv_045/period_2/gurobi.log
bf_qcv_045,period_3,62480,49980,0.0274,output/bf_qcv_045/period_3/gurobi.log
bf_qcv_045,period_4,62480,49980,0.0342,output/bf_qcv_045/period_4/gurobi.log
bf_qcv_045,period_5,62480,49980,0.0692,output/bf_qcv_045/period_5/gurobi.log
bf_sae1006_045,period_1,169560,131718,22.238,output/bf_sae1006_045/period_1/gurobi.log
bf_sae1006_045,period_2,171267,133104,6.9207,output/bf_sae1006_045/period_2/gurobi.log
bf_sae1006_045,period_3,171410,133213,9.3583,output/bf_sae1006_045/period_3/gurobi.log
bf_sae1006_045,period_4,171687,133431,28.5019,output/bf_sae1006_045/period_4/gurobi.log
bf_sae1006_045,period_5,171553,133322,14.0976,output/bf_sae1006_045/period_5/gurobi.log
bf_sae1006_050,period_1,2366,1728,0.0,output/bf_sae1006_050/period_1/gurobi.log
bf_sae1006_050,period_2,3040,2256,0.0,output/bf_sae1006_050/period_2/gurobi.log
bf_sae1006_050,period_3,2958,2193,0.0,output/bf_sae1006_050/period_3/gurobi.log
bf_sae1006_050,period_4,3211,2382,0.0,output/bf_sae1006_050/period_4/gurobi.log
bf_sae1006_050,period_5,3332,2482,0.0,output/bf_sae1006_050/period_5/gurobi.log
bz_nbr7008_043,period_1,196063,130753,75.3124,output/bz_nbr7008_043/period_1/gurobi.log
bz_nbr7008_043,period_2,202241,135507,30.6535,output/bz_nbr7008_043/period_2/gurobi.log
bz_nbr7008_043,period_3,206176,138329,26.7203,output/bz_nbr7008_043/period_3/gurobi.log
bz_nbr7008_043,period_4,203998,136704,36.4864,output/bz_nbr7008_043/period_4/gurobi.log
bz_nbr7008_043,period_5,204043,136704,39.8212,output/bz_nbr7008_043/period_5/gurobi.log
bz_nbr7008_075,period_1,11236,7524,0.0,output/bz_nbr7008_075/period_1/gurobi.log
bz_nbr7008_075,period_2,15572,10582,0.0,output/bz_nbr7008_075/period_2/gurobi.log
bz_nbr7008_075,period_3,15381,10421,0.0,output/bz_nbr7008_075/period_3/gurobi.log
bz_nbr7008_075,period_4,17172,11706,0.0,output/bz_nbr7008_075/period_4/gurobi.log
bz_nbr7008_075,period_5,15797,10739,0.0,output/bz_nbr7008_075/period_5/gurobi.log
bz_nbr7008_095,period_1,7979,5533,0.0,output/bz_nbr7008_095/period_1/gurobi.log
bz_nbr7008_095,period_2,9081,6395,0.0,output/bz_nbr7008_095/period_2/gurobi.log
bz_nbr7008_095,period_3,9219,6506,0.0,output/bz_nbr7008_095/period_3/gurobi.log
bz_nbr7008_095,period_4,9081,6395,0.0,output/bz_nbr7008_095/period_4/gurobi.log
bz_nbr7008_095,period_5,8943,6284,0.0,output/bz_nbr7008_095/period_5/gurobi.log
