instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.87,1.06,1.07,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.88,1.06,1.06,0.0,0.0,0.0
bf_qcv_045,period_3,3,97.89,1.04,1.07,0.0,0.0,0.0
bf_qcv_045,period_4,4,97.74,1.19,1.07,0.0,0.0,0.0
bf_qcv_045,period_5,5,98.06,0.88,1.07,0.0,0.0,0.0
bf_sae1006_045,period_1,1,96.24,2.72,1.04,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.88,2.06,1.06,95.86,4.14,1.15
bf_sae1006_045,period_3,3,97.19,1.75,1.06,99.2,0.8,0.31
bf_sae1006_045,period_4,4,96.86,2.13,1.01,96.46,3.54,0.18
bf_sae1006_045,period_5,5,96.84,2.1,1.06,98.94,1.06,0.22
bf_sae1006_050,period_1,1,78.49,20.63,0.88,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.49,23.63,0.88,93.63,6.37,25.68
bf_sae1006_050,period_3,3,69.04,30.08,0.88,94.17,5.83,19.27
bf_sae1006_050,period_4,4,82.18,16.93,0.88,96.19,3.81,42.22
bf_sae1006_050,period_5,5,96.53,2.58,0.89,93.06,6.94,7.06
bz_nbr7008_043,period_1,1,91.82,7.18,1.0,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,89.27,9.71,1.02,29.8,70.2,1.81
bz_nbr7008_043,period_3,3,92.43,6.56,1.01,28.31,71.69,2.43
bz_nbr7008_043,period_4,4,90.86,8.15,0.99,33.63,66.37,1.93
bz_nbr7008_043,period_5,5,91.46,7.53,1.0,47.81,52.19,2.08
bz_nbr7008_075,period_1,1,89.46,9.45,1.08,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.18,13.72,1.1,58.58,41.42,7.11
bz_nbr7008_075,period_3,3,81.49,17.42,1.08,79.79,20.21,10.17
bz_nbr7008_075,period_4,4,76.72,22.2,1.08,58.56,41.44,13.94
bz_nbr7008_075,period_5,5,85.55,13.37,1.08,86.76,13.24,15.13
bz_nbr7008_095,period_1,1,92.95,5.98,1.07,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,87.85,11.07,1.07,74.84,25.16,4.82
bz_nbr7008_095,period_3,3,91.78,7.15,1.07,83.22,16.78,7.68
bz_nbr7008_095,period_4,4,94.35,4.57,1.08,90.01,9.99,8.11
bz_nbr7008_095,period_5,5,96.13,2.8,1.07,90.77,9.23,2.35
