instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_edge_trim_value,new_rolled_leftover_value,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value
bf_qcv_045,period_1,1,40,1612324.03,1577697.52,0.0,11.94,708.19,17325.39,16581.42,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_2,2,35,1444326.6,1413510.74,0.0,7.92,624.99,15481.22,14701.9,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_3,3,44,1802340.19,1764000.55,0.0,4.88,776.7,18929.34,18628.74,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_4,4,30,1224854.67,1196976.57,0.0,5.1,531.79,14752.47,12588.2,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_5,5,49,1940953.33,1903028.52,0.0,11.4,873.18,17148.9,19891.3,0.0,0,0,0.0,0.0,0.0
bf_sae1006_045,period_1,1,49,2032478.7,1956521.08,15039.27,39.69,840.16,39798.91,20238.83,0.0,0,0,0.0,0.0,0.0
bf_sae1006_045,period_2,2,49,2011670.28,1948991.83,6551.08,9.81,827.76,34763.49,20525.44,0.0,6,6,23123.22,22146.77,976.45
bf_sae1006_045,period_3,3,55,2242876.54,2179784.66,2656.46,46.87,948.76,36685.72,22753.4,0.0,6,6,6551.08,6498.12,52.95
bf_sae1006_045,period_4,4,37,1527679.09,1479786.49,5165.99,1.83,651.58,27238.39,14834.55,0.0,7,7,2656.41,2562.11,94.31
bf_sae1006_045,period_5,5,61,2491062.11,2412539.85,8954.49,17.22,1052.53,43110.27,25387.09,0.05,6,6,5165.94,5110.79,55.15
bf_sae1006_050,period_1,1,4,177663.5,139453.38,3758.94,0.0,78.25,32892.46,1480.48,0.0,0,0,0.0,0.0,0.0
bf_sae1006_050,period_2,2,3,131588.05,99336.21,2131.31,0.0,56.56,28967.36,1096.52,0.0,6,6,36651.4,34317.31,2334.09
bf_sae1006_050,period_3,3,4,177663.5,122666.86,13832.64,0.0,74.12,39609.46,1480.48,0.0,5,5,31098.67,29285.83,1812.84
bf_sae1006_050,period_4,4,2,85602.84,70351.65,6005.33,0.0,43.59,8488.94,713.33,0.0,8,8,53442.1,51406.54,2035.55
bf_sae1006_050,period_5,5,4,184056.61,177671.56,2684.89,0.0,95.65,2070.62,1533.78,0.0,8,8,14494.27,13487.72,1006.54
bz_nbr7008_043,period_1,1,20,887518.83,816087.31,5648.78,81.98,380.42,56924.15,8396.19,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,19,827812.47,739164.47,6616.63,7.92,337.56,73626.81,8059.09,0.0,12,11,44843.52,13619.84,31223.68
bz_nbr7008_043,period_3,3,20,874742.79,808942.72,1971.78,3.92,369.91,55033.57,8420.77,0.0,15,13,70671.82,20769.84,49901.98
bz_nbr7008_043,period_4,4,16,711079.88,646046.89,3772.85,73.47,302.08,54213.98,6670.61,0.0,11,8,37049.72,12990.01,24059.71
bz_nbr7008_043,period_5,5,24,1109874.4,1015523.74,2609.81,0.0,444.81,80647.18,10648.65,0.0,11,9,45315.34,22308.04,23007.3
bz_nbr7008_075,period_1,1,6,215298.54,192612.48,11078.59,0.0,179.67,9274.83,2153.03,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,5,181618.07,154705.0,14985.2,31.17,147.86,9932.61,1816.18,0.0,10,10,20212.79,11841.55,8371.24
bz_nbr7008_075,period_3,3,6,214525.88,174822.46,25176.15,0.0,177.26,12204.64,2145.32,0.0,7,7,24801.49,19789.56,5011.93
bz_nbr7008_075,period_4,4,5,175691.62,134789.97,29151.52,0.0,147.86,9845.38,1756.95,0.0,12,11,37283.37,21832.22,15451.16
bz_nbr7008_075,period_5,5,6,221245.93,189278.72,15578.61,0.0,174.85,14001.33,2212.47,0.0,8,8,38893.97,33745.85,5148.12
bz_nbr7008_095,period_1,1,6,315124.26,292911.67,942.96,0.0,227.7,17890.69,3151.24,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,6,303415.78,266555.96,17052.95,0.0,226.89,16545.75,3034.17,0.0,6,6,18054.2,13510.88,4543.32
bz_nbr7008_095,period_3,3,7,358106.31,328668.1,9319.21,0.0,267.92,16269.99,3581.09,0.0,7,7,32869.86,27355.39,5514.47
bz_nbr7008_095,period_4,4,5,248862.12,234805.29,2726.47,0.0,192.9,8648.72,2488.64,0.0,6,6,23026.46,20727.19,2299.26
bz_nbr7008_095,period_5,5,6,332645.66,319769.93,3554.84,0.0,235.77,5758.47,3326.44,0.0,5,5,8466.26,7684.6,781.67
