instance,period,period_number,coil_id,processed,used,coil_width,coil_weight,coil_ton_value,used_length,strip_count,strip_produced_weight,strip_leftover_weight,strip_retail_weight,strip_scrap_weight,strip_loss_weight,lateral_leftover_weight,lateral_leftover_retail_weight,lateral_leftover_scrap_weight,edge_trim_weight,rolled_leftover_weight,rolled_leftover_width,rolled_leftover_length,processed_scrap_weight
bf_qcv_045,period_1,1,10,0,1,1200.0,7342.89,4819.73,1727.82,2,7240.79,0.0,0.0,0.0,4.19,36.71,0.0,36.71,61.19,0.0,1200.0,0.0,0.0
bf_qcv_045,period_1,1,106,0,1,1000.0,8151.57,5288.27,2301.73,2,7830.26,0.0,0.0,0.0,3.4,236.4,0.0,236.4,81.52,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,107,0,1,1000.0,9312.83,5288.27,2629.63,2,9197.58,0.0,0.0,0.0,3.5,18.63,0.0,18.63,93.13,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,112,0,1,1000.0,7814.23,5288.27,2206.47,2,7716.96,0.0,0.0,0.0,3.5,15.63,0.0,15.63,78.14,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,114,0,1,1000.0,9764.95,5288.27,2757.29,2,9117.13,0.0,0.0,0.0,3.31,546.84,0.0,546.84,97.65,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,124,0,1,1000.0,6736.65,5288.27,1902.19,2,6652.25,0.0,0.0,0.0,3.5,13.47,0.0,13.47,67.37,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,134,0,1,1000.0,8206.06,5288.27,2317.11,2,7661.15,0.0,0.0,0.0,3.31,459.54,0.0,459.54,82.06,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,136,0,1,1000.0,9049.37,5288.27,2555.24,2,8448.8,0.0,0.0,0.0,3.31,506.76,0.0,506.76,90.49,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,142,0,1,1000.0,8859.15,5288.27,2501.52,2,8749.34,0.0,0.0,0.0,3.5,17.72,0.0,17.72,88.59,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,146,0,1,1000.0,8447.56,5288.27,2385.31,2,7886.71,0.0,0.0,0.0,3.31,473.06,0.0,473.06,84.48,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,157,0,1,1000.0,9296.83,5288.27,2625.11,2,8930.85,0.0,0.0,0.0,3.4,269.61,0.0,269.61,92.97,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,168,0,1,880.0,8196.89,5302.87,2630.14,2,8063.42,0.0,0.0,0.0,3.07,37.26,0.0,37.26,93.15,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,175,0,1,880.0,7080.64,5302.87,2271.97,2,6964.93,0.0,0.0,0.0,3.07,32.18,0.0,32.18,80.46,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,177,0,1,880.0,6898.96,5302.87,2213.67,2,6786.14,0.0,0.0,0.0,3.07,31.36,0.0,31.36,78.4,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,180,0,1,880.0,8764.2,5302.87,2812.18,2,8651.57,0.0,0.0,0.0,3.08,9.96,0.0,9.96,99.59,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,187,0,1,880.0,7216.06,5302.87,2315.42,2,7122.78,0.0,0.0,0.0,3.08,8.2,0.0,8.2,82.0,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,190,0,1,880.0,5846.27,5302.87,1875.9,2,5750.08,0.12,0.0,0.12,3.07,26.57,0.0,26.57,66.43,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,195,0,1,880.0,7009.32,5302.87,2249.09,2,6918.61,0.02,0.0,0.02,3.08,7.97,0.0,7.97,79.65,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,196,0,1,880.0,7155.48,5302.87,2295.98,2,7062.96,0.0,0.0,0.0,3.08,8.13,0.0,8.13,81.31,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,205,0,1,880.0,5940.79,5302.87,1906.23,2,5843.21,0.0,0.0,0.0,3.07,27.0,0.0,27.0,67.51,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,207,0,1,880.0,7244.86,5302.87,2324.66,2,7151.22,0.0,0.0,0.0,3.08,8.23,0.0,8.23,82.33,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,21,0,1,1200.0,7985.82,4819.73,1879.1,2,7875.15,0.0,0.0,0.0,4.19,39.93,0.0,39.93,66.55,0.0,1200.0,0.0,0.0
bf_qcv_045,period_1,1,210,0,1,880.0,7283.34,5302.87,2337.01,2,7189.22,0.0,0.0,0.0,3.08,8.28,0.0,8.28,82.77,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,211,0,1,880.0,7672.4,5302.87,2461.85,2,7547.27,0.0,0.0,0.0,3.07,34.87,0.0,34.87,87.19,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,215,0,1,880.0,7412.93,5302.87,2378.59,2,7317.19,0.0,0.0,0.0,3.08,8.42,0.0,8.42,84.24,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,220,0,1,880.0,8484.8,5302.87,2722.52,2,8375.66,0.0,0.0,0.0,3.08,9.64,0.0,9.64,96.42,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,222,0,1,880.0,7362.83,5302.87,2362.52,2,7267.72,0.0,0.0,0.0,3.08,8.37,0.0,8.37,83.67,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,231,0,1,880.0,7039.14,5302.87,2258.65,2,6948.07,0.0,0.0,0.0,3.08,8.0,0.0,8.0,79.99,0.0,880.0,0.0,0.0
