instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.03,1.9,1.07,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.48,1.46,1.06,99.66,0.34,0.96
bf_qcv_045,period_3,3,97.83,1.09,1.08,98.76,1.24,0.24
bf_qcv_045,period_4,4,96.85,2.09,1.06,96.26,3.74,0.06
bf_qcv_045,period_5,5,97.35,1.59,1.06,89.47,10.53,0.0
bf_sae1006_045,period_1,1,96.63,2.35,1.02,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.18,2.75,1.06,99.59,0.41,0.51
bf_sae1006_045,period_3,3,96.49,2.44,1.07,85.59,14.41,0.78
bf_sae1006_045,period_4,4,96.82,2.15,1.03,99.67,0.33,1.29
bf_sae1006_045,period_5,5,96.92,2.02,1.05,99.05,0.95,0.37
bf_sae1006_050,period_1,1,78.49,20.63,0.88,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.49,23.63,0.88,93.63,6.37,25.68
bf_sae1006_050,period_3,3,69.04,30.08,0.88,94.17,5.83,19.27
bf_sae1006_050,period_4,4,82.18,16.93,0.88,96.19,3.81,42.22
bf_sae1006_050,period_5,5,96.53,2.58,0.89,93.06,6.94,7.06
bz_nbr7008_043,period_1,1,92.43,6.58,0.99,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,90.39,8.66,0.95,69.75,30.25,2.74
bz_nbr7008_043,period_3,3,91.77,7.27,0.96,74.76,25.24,4.32
bz_nbr7008_043,period_4,4,88.92,10.12,0.96,90.65,9.35,2.95
bz_nbr7008_043,period_5,5,90.96,8.05,0.99,36.15,63.85,1.9
bz_nbr7008_075,period_1,1,88.79,10.12,1.08,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,84.87,14.05,1.08,60.23,39.77,7.89
bz_nbr7008_075,period_3,3,81.16,17.76,1.08,81.09,18.91,10.53
bz_nbr7008_075,period_4,4,76.15,22.76,1.09,60.09,39.91,14.58
bz_nbr7008_075,period_5,5,88.0,10.91,1.08,85.82,14.18,15.35
bz_nbr7008_095,period_1,1,91.77,7.04,1.19,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,86.75,12.18,1.07,77.92,22.08,6.02
bz_nbr7008_095,period_3,3,90.8,8.13,1.07,85.22,14.78,8.67
bz_nbr7008_095,period_4,4,92.9,6.03,1.08,91.35,8.65,9.53
bz_nbr7008_095,period_5,5,94.45,4.49,1.07,91.34,8.66,3.47
