instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight,retails_generated_avg_weight
bf_qcv_045,period_1,1,40,313969.68,304651.67,2637.31,0.0,137.45,3325.44,3217.84,0.0,0,0,0,0.0,0.0,0.0,304651.67,5,2637.32,527.46
bf_qcv_045,period_2,2,35,278142.94,271142.2,811.72,0.0,122.76,3254.53,2811.71,0.0,0,5,5,2637.32,2628.31,9.01,273770.51,4,811.72,202.93
bf_qcv_045,period_3,3,44,347166.06,339630.55,150.17,38.71,150.76,3622.94,3573.01,0.0,0,4,4,811.72,801.69,10.03,340432.24,3,150.17,50.06
bf_qcv_045,period_4,4,29,238013.61,230519.42,1893.98,0.0,99.85,3068.61,2431.78,0.0,0,3,3,150.17,144.56,5.61,230663.98,8,1893.99,236.75
bf_qcv_045,period_5,5,48,378382.7,368350.6,2803.64,0.27,166.72,3209.67,3851.8,0.0,0,1,1,15.67,14.02,1.65,368364.62,4,2803.64,700.91
bf_sae1006_045,period_1,1,48,395321.01,382001.44,1951.79,8.8,164.09,7342.58,3852.24,0.0,0,0,0,0.0,0.0,0.0,382001.44,5,1951.79,390.36
bf_sae1006_045,period_2,2,50,397548.76,382372.85,1322.94,3.25,166.3,9629.24,4054.03,0.0,0,5,5,1951.79,1943.84,7.95,384316.69,7,3918.64,559.81
bf_sae1006_045,period_3,3,55,439813.54,424374.17,3743.38,9.39,185.66,7009.8,4490.97,0.0,0,7,7,3918.64,3353.89,564.75,427728.06,6,3743.37,623.9
bf_sae1006_045,period_4,4,38,295988.53,286589.38,1747.07,1.81,130.09,4610.23,2909.86,0.0,0,6,6,3743.37,3731.02,12.35,290320.4,6,1747.08,291.18
bf_sae1006_045,period_5,5,59,485669.22,470719.11,588.08,5.78,199.21,9240.18,4916.78,0.0,0,6,6,1747.08,1730.56,16.52,472449.67,7,588.08,84.01
bf_sae1006_050,period_1,1,4,34397.98,27000.0,727.78,0.0,15.15,6368.41,286.64,0.0,0,0,0,0.0,0.0,0.0,27000.0,6,7096.19,1182.7
bf_sae1006_050,period_2,2,3,25477.17,19232.79,412.65,0.0,10.95,5608.46,212.3,0.0,0,6,6,7096.19,6644.28,451.91,25877.07,5,6021.11,1204.22
bf_sae1006_050,period_3,3,4,34397.98,23749.91,2678.18,0.0,14.35,7668.91,286.64,0.0,0,5,5,6021.11,5670.12,350.99,29420.03,8,10347.09,1293.39
bf_sae1006_050,period_4,4,2,16573.83,13621.0,1162.71,0.0,8.44,1643.57,138.11,0.0,0,8,8,10347.09,9952.98,394.11,23573.98,8,2806.28,350.78
bf_sae1006_050,period_5,5,4,35635.77,34399.54,519.83,0.0,18.52,400.9,296.96,0.0,0,8,8,2806.28,2611.4,194.88,37010.94,2,519.83,259.92
bz_nbr7008_043,period_1,1,20,153155.16,141553.76,2457.75,11.2,67.94,7622.97,1441.53,0.0,0,0,0,0.0,0.0,0.0,141553.76,11,5180.63,470.97
bz_nbr7008_043,period_2,2,17,141741.83,128114.15,4676.19,1.94,59.46,7598.52,1291.52,0.0,0,11,11,5180.63,3613.35,1567.28,131727.5,11,8353.05,759.37
bz_nbr7008_043,period_3,3,19,150668.28,138274.09,2796.59,1.7,66.7,8156.24,1372.94,0.0,0,11,11,8353.05,6244.38,2108.67,144518.47,11,6268.21,569.84
bz_nbr7008_043,period_4,4,16,124549.58,110747.39,1300.56,0.0,53.82,11308.05,1139.75,0.0,0,6,6,3709.29,3362.47,346.82,114109.86,13,9506.63,731.28
bz_nbr7008_043,period_5,5,24,194750.2,177152.25,1948.36,0.0,78.92,13720.01,1850.66,0.0,0,13,12,9506.63,3436.87,6069.76,180589.12,14,11910.92,850.78
bz_nbr7008_075,period_1,1,6,40506.16,35966.97,2358.52,0.0,33.55,1742.04,405.07,0.0,0,0,0,0.0,0.0,0.0,35966.97,9,4074.05,452.67
bz_nbr7008_075,period_2,2,5,33753.72,28646.0,2926.35,0.0,27.61,1816.22,337.54,0.0,0,9,9,4074.05,2453.63,1620.42,31099.63,6,4720.61,786.77
bz_nbr7008_075,period_3,3,6,40058.91,32512.49,4297.43,0.0,32.65,2815.73,400.6,0.0,0,6,6,4720.61,3827.86,892.75,36340.35,8,7094.98,886.87
bz_nbr7008_075,period_4,4,5,32807.3,24983.28,6197.02,0.0,28.06,1270.85,328.08,0.0,0,8,7,7094.98,4263.14,2831.84,29246.42,10,7448.44,744.84
bz_nbr7008_075,period_5,5,6,40058.91,35253.56,2087.23,0.0,33.09,2284.44,400.6,0.0,0,10,10,7448.44,6392.33,1056.11,41645.89,9,4347.31,483.03
bz_nbr7008_095,period_1,1,6,58970.89,54118.12,1067.53,70.65,41.92,3082.96,589.71,0.0,0,0,0,0.0,0.0,0.0,54118.12,5,3999.91,799.98
bz_nbr7008_095,period_2,2,6,56058.86,48628.38,3797.28,0.0,41.92,3030.67,560.59,0.0,0,5,5,3999.91,3116.54,883.37,51744.92,6,6693.29,1115.55
bz_nbr7008_095,period_3,3,7,66163.44,60074.61,2419.77,0.0,49.5,2957.92,661.64,0.0,0,6,6,6693.29,5704.01,989.28,65778.62,6,4924.11,820.68
bz_nbr7008_095,period_4,4,5,45979.57,42713.84,1067.13,0.0,35.64,1703.15,459.8,0.0,0,6,6,4924.11,4498.16,425.95,47212.0,5,2295.67,459.13
bz_nbr7008_095,period_5,5,6,61838.36,58403.34,675.25,0.0,42.74,2098.63,618.38,0.0,0,5,5,2295.67,2096.91,198.76,60500.25,6,2087.01,347.84
