instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_edge_trim_value,new_rolled_leftover_value,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value
bf_qcv_045,period_1,1,40,1626525.84,1577690.55,13974.61,0.0,708.14,17411.15,16741.58,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_2,2,35,1435889.26,1399560.62,4171.13,0.0,628.32,16946.5,14582.58,0.0,5,5,13974.66,13928.16,46.5
bf_qcv_045,period_3,3,44,1799250.24,1759939.52,763.89,202.97,776.7,18970.22,18597.38,0.0,4,4,4171.13,4119.98,51.16
bf_qcv_045,period_4,4,29,1234890.13,1196065.06,9613.63,0.0,514.93,16030.42,12666.25,0.0,3,3,763.89,735.37,28.52
bf_qcv_045,period_5,5,48,1953335.62,1902183.91,13586.08,1.43,855.25,16728.71,19980.26,0.0,1,1,82.87,74.14,8.73
bf_sae1006_045,period_1,1,48,2019570.18,1951787.07,9663.62,44.13,836.96,37531.81,19706.21,0.0,0,0,0.0,0.0,0.0
bf_sae1006_045,period_2,2,50,2036361.74,1958673.61,6655.56,16.18,850.18,49367.63,20797.81,0.0,5,5,9663.62,9623.98,39.64
bf_sae1006_045,period_3,3,55,2250657.14,2171785.74,18766.38,46.46,948.13,36090.55,23019.02,0.0,7,7,19900.71,17019.97,2880.74
bf_sae1006_045,period_4,4,38,1512694.72,1464668.81,8795.28,9.3,663.62,23665.5,14891.74,0.0,6,6,18766.33,18704.18,62.15
bf_sae1006_045,period_5,5,59,2485182.05,2408534.28,2969.55,29.16,1017.7,47431.57,25199.37,0.0,6,6,8795.33,8713.23,82.1
bf_sae1006_050,period_1,1,4,177663.5,139453.38,3758.94,0.0,78.25,32892.46,1480.48,0.0,0,0,0.0,0.0,0.0
bf_sae1006_050,period_2,2,3,131588.05,99336.21,2131.31,0.0,56.56,28967.36,1096.52,0.0,6,6,36651.4,34317.31,2334.09
bf_sae1006_050,period_3,3,4,177663.5,122666.86,13832.64,0.0,74.12,39609.46,1480.48,0.0,5,5,31098.67,29285.83,1812.84
bf_sae1006_050,period_4,4,2,85602.84,70351.65,6005.33,0.0,43.59,8488.94,713.33,0.0,8,8,53442.1,51406.54,2035.55
bf_sae1006_050,period_5,5,4,184056.61,177671.56,2684.89,0.0,95.65,2070.62,1533.78,0.0,8,8,14494.27,13487.72,1006.54
bz_nbr7008_043,period_1,1,20,883406.38,816637.68,14048.75,61.21,392.3,43989.73,8276.66,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,17,825685.91,745371.65,27605.72,10.6,346.49,44850.36,7500.8,0.0,11,11,29549.14,20727.9,8821.24
bz_nbr7008_043,period_3,3,19,876807.57,804786.08,15822.33,9.63,388.94,47840.96,7959.52,0.0,11,11,49462.04,36928.55,12533.49
bz_nbr7008_043,period_4,4,16,723441.87,643394.16,7498.65,0.0,312.62,65646.04,6590.34,0.0,6,6,21689.94,19640.95,2048.98
bz_nbr7008_043,period_5,5,24,1122370.79,1021267.86,11239.99,0.0,455.44,78778.19,10629.31,0.0,13,12,54921.05,20211.46,34709.59
bz_nbr7008_075,period_1,1,6,216921.02,192612.48,12630.49,0.0,179.67,9329.08,2169.26,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,5,180759.95,153406.78,15671.37,0.0,147.86,9726.33,1807.61,0.0,9,9,21817.6,13139.83,8677.77
bz_nbr7008_075,period_3,3,6,214525.88,174112.84,23013.85,0.0,174.85,15078.97,2145.32,0.0,6,6,25280.09,20499.19,4780.91
bz_nbr7008_075,period_4,4,5,175691.62,133791.96,33186.65,0.0,150.27,6805.73,1756.95,0.0,8,7,37995.46,22830.22,15165.24
bz_nbr7008_075,period_5,5,6,214525.88,188791.98,11177.66,0.0,177.21,12233.77,2145.32,0.0,10,10,39888.33,34232.59,5655.74
bz_nbr7008_095,period_1,1,6,319176.99,292911.62,5777.95,382.39,226.89,16686.37,3191.78,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,6,303415.78,263198.68,20552.59,0.0,226.89,16403.35,3034.17,0.0,5,5,21649.31,16868.12,4781.2
bz_nbr7008_095,period_3,3,7,358106.31,325150.82,13096.88,0.0,267.92,16009.59,3581.09,0.0,6,6,36227.1,30872.67,5354.43
bz_nbr7008_095,period_4,4,5,248862.12,231186.52,5775.79,0.0,192.9,9218.21,2488.64,0.0,6,6,26651.5,24346.07,2305.43
bz_nbr7008_095,period_5,5,6,334697.03,316105.16,3654.76,0.0,231.33,11358.73,3346.95,0.0,5,5,12425.2,11349.42,1075.78
