
Gurobi 13.0.2 (linux64, Python) logging started Sat Aug 22 12:22:36 2026

Set parameter LogToConsole to value 0
Set parameter Username
Set parameter LicenseID to value 2748191
Set parameter TimeLimit to value 120
Set parameter LogFile to value "output/bf_qcv_045/weighted_loss/retail_y_2__retail_v_2__retail_v_2__rolled_leftover_2/period_2/gurobi.log"
Academic license - for non-commercial use only - expires 2026-12-01
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: 13th Gen Intel(R) Core(TM) i7-13700HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 24 threads

Non-default parameters:
TimeLimit  120
LogToConsole  0

Optimize a model with 62981 rows, 50385 columns and 167574 nonzeros (Min)
Model fingerprint: 0x84fe2fe2
Model has 20430 linear objective coefficients and an objective constant of 2557.6430168
Variable types: 40614 continuous, 9771 integer (9771 binary)
Coefficient statistics:
  Matrix range     [7e-03, 1e+04]
  Objective range  [1e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-01, 8e+04]

Presolve removed 45192 rows and 36152 columns
Presolve time: 0.32s
Presolved: 17789 rows, 14233 columns, 75130 nonzeros
Variable types: 9404 continuous, 4829 integer (4829 binary)
Found heuristic solution: objective 1.817996e+07
Found heuristic solution: objective 4988801.1584

Root relaxation: objective 1.567481e+06, 11914 iterations, 0.89 seconds (0.96 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1567481.27    0  134 4988801.16 1567481.27  68.6%     -    1s
H    0     0                    1750062.0208 1567481.27  10.4%     -    1s
H    0     0                    1739989.1030 1567481.27  9.91%     -    2s
H    0     0                    1738908.4192 1567481.27  9.86%     -    2s
H    0     0                    1734901.3247 1567481.27  9.65%     -    2s
H    0     0                    1734105.1451 1567481.27  9.61%     -    2s
H    0     0                    1733849.0971 1567481.27  9.60%     -    2s
H    0     0                    1724489.6354 1567481.27  9.10%     -    2s
H    0     0                    1723088.3096 1567481.27  9.03%     -    2s
     0     0 1567820.38    0  146 1723088.31 1567820.38  9.01%     -    2s
H    0     0                    1722880.8901 1567820.46  9.00%     -    3s
H    0     0                    1719147.3514 1567820.46  8.80%     -    3s
H    0     0                    1718613.6706 1567820.46  8.77%     -    3s
H    0     0                    1717942.3272 1567820.46  8.74%     -    3s
H    0     0                    1712906.1916 1567820.46  8.47%     -    3s
H    0     0                    1706441.9876 1567820.46  8.12%     -    3s
H    0     0                    1701608.0853 1567820.46  7.86%     -    3s
     0     0 1567899.73    0  146 1701608.09 1567899.73  7.86%     -    3s
     0     0 1567948.77    0  148 1701608.09 1567948.77  7.85%     -    3s
     0     0 1568010.36    0  148 1701608.09 1568010.36  7.85%     -    3s
     0     0 1568064.86    0  148 1701608.09 1568064.86  7.85%     -    3s
     0     0 1568144.57    0  160 1701608.09 1568144.57  7.84%     -    3s
     0     0 1568184.79    0  173 1701608.09 1568184.79  7.84%     -    3s
     0     0 1568186.07    0  176 1701608.09 1568186.07  7.84%     -    3s
     0     0 1568186.23    0  178 1701608.09 1568186.23  7.84%     -    3s
     0     0 1568381.64    0  178 1701608.09 1568381.64  7.83%     -    3s
     0     0 1568395.81    0  186 1701608.09 1568395.81  7.83%     -    3s
H    0     0                    1695863.1945 1568395.81  7.52%     -    4s
H    0     0                    1693252.2291 1568395.81  7.37%     -    4s
H    0     0                    1683876.9671 1568586.60  6.85%     -    4s
     0     0 1568586.60    0  201 1683876.97 1568586.60  6.85%     -    4s
     0     0 1568750.28    0  197 1683876.97 1568750.28  6.84%     -    4s
     0     0 1568752.56    0  196 1683876.97 1568752.56  6.84%     -    4s
     0     0 1569537.40    0  203 1683876.97 1569537.40  6.79%     -    5s
     0     0 1569562.94    0  208 1683876.97 1569562.94  6.79%     -    5s
     0     0 1569565.56    0  211 1683876.97 1569565.56  6.79%     -    5s
     0     0 1569566.48    0  207 1683876.97 1569566.48  6.79%     -    5s
     0     0 1571509.51    0  212 1683876.97 1571509.51  6.67%     -    5s
     0     0 1571837.61    0  224 1683876.97 1571837.61  6.65%     -    5s
     0     0 1571845.73    0  218 1683876.97 1571845.73  6.65%     -    5s
     0     0 1571849.67    0  214 1683876.97 1571849.67  6.65%     -    5s
     0     0 1574269.81    0  235 1683876.97 1574269.81  6.51%     -    5s
     0     0 1574314.79    0  235 1683876.97 1574314.79  6.51%     -    6s
     0     0 1574317.72    0  238 1683876.97 1574317.72  6.51%     -    6s
     0     0 1574318.66    0  239 1683876.97 1574318.66  6.51%     -    6s
     0     0 1575555.97    0  242 1683876.97 1575555.97  6.43%     -    6s
H    0     0                    1676892.2094 1575556.03  6.04%     -    6s
H    0     0                    1668798.8779 1575556.03  5.59%     -    6s
H    0     0                    1663819.2007 1575556.03  5.30%     -    6s
     0     0 1575903.12    0  233 1663819.20 1575903.12  5.28%     -    6s
     0     0 1575903.36    0  233 1663819.20 1575903.36  5.28%     -    6s
     0     0 1576241.29    0  241 1663819.20 1576241.29  5.26%     -    7s
