
Gurobi 13.0.2 (linux64, Python) logging started Thu Aug 13 21:38:30 2026

Set parameter LogToConsole to value 0
Set parameter Username
Set parameter LicenseID to value 2748191
Set parameter TimeLimit to value 120
Set parameter LogFile to value "output/bf_qcv_045/weighted_loss/retail_y_4__retail_v_2__rolled_leftover_2/period_4/gurobi.log"
Academic license - for non-commercial use only - expires 2026-12-01
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: 13th Gen Intel(R) Core(TM) i7-13700HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 24 threads

Non-default parameters:
TimeLimit  120
LogToConsole  0

Optimize a model with 62907 rows, 50324 columns and 167367 nonzeros (Min)
Model fingerprint: 0x54d6cc6d
Model has 20425 linear objective coefficients and an objective constant of 1.5033345175999998e+03
Variable types: 40564 continuous, 9760 integer (9760 binary)
Coefficient statistics:
  Matrix range     [1e-02, 1e+04]
  Objective range  [1e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-01, 7e+04]

Presolve removed 45121 rows and 36093 columns
Presolve time: 0.27s
Presolved: 17786 rows, 14231 columns, 75122 nonzeros
Variable types: 9403 continuous, 4828 integer (4828 binary)
Found heuristic solution: objective 2.422079e+07

Root relaxation: objective 1.331502e+06, 12125 iterations, 0.34 seconds (0.93 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1331502.49    0  120 2.4221e+07 1331502.49  94.5%     -    0s
H    0     0                    2.383816e+07 1331502.49  94.4%     -    0s
H    0     0                    2.360778e+07 1331502.49  94.4%     -    0s
     0     0 1331769.78    0  131 2.3608e+07 1331769.78  94.4%     -    0s
H    0     0                    1661111.4679 1331769.89  19.8%     -    0s
H    0     0                    1661092.9268 1331769.89  19.8%     -    0s
H    0     0                    1654351.5443 1331769.89  19.5%     -    0s
H    0     0                    1652672.4435 1331769.89  19.4%     -    0s
H    0     0                    1576677.5013 1331769.89  15.5%     -    0s
H    0     0                    1575674.9329 1331769.89  15.5%     -    0s
H    0     0                    1572487.6647 1331769.89  15.3%     -    1s
H    0     0                    1567671.5494 1331769.89  15.0%     -    1s
H    0     0                    1542682.2326 1331769.89  13.7%     -    1s
H    0     0                    1531605.1396 1331788.69  13.0%     -    1s
H    0     0                    1530511.4154 1331788.69  13.0%     -    1s
     0     0 1331788.69    0  130 1530511.42 1331788.69  13.0%     -    1s
     0     0 1331788.70    0  130 1530511.42 1331788.70  13.0%     -    1s
H    0     0                    1514933.9787 1331788.70  12.1%     -    1s
     0     0 1331928.52    0  130 1514933.98 1331928.52  12.1%     -    1s
H    0     0                    1484879.1729 1331928.56  10.3%     -    1s
H    0     0                    1484022.1886 1331928.56  10.2%     -    1s
H    0     0                    1477030.1037 1331928.56  9.82%     -    1s
H    0     0                    1472380.5094 1331928.56  9.54%     -    1s
H    0     0                    1472003.6191 1331928.56  9.52%     -    1s
H    0     0                    1471991.9566 1331928.56  9.52%     -    2s
     0     0 1331970.93    0  132 1471991.96 1331970.93  9.51%     -    2s
     0     0 1331988.76    0  132 1471991.96 1331988.76  9.51%     -    2s
     0     0 1332019.65    0  132 1471991.96 1332019.65  9.51%     -    2s
     0     0 1332049.79    0  132 1471991.96 1332049.79  9.51%     -    2s
     0     0 1332075.38    0  132 1471991.96 1332075.38  9.51%     -    2s
     0     0 1332095.05    0  132 1471991.96 1332095.05  9.50%     -    2s
     0     0 1332140.90    0  137 1471991.96 1332140.90  9.50%     -    2s
     0     0 1332165.80    0  150 1471991.96 1332165.80  9.50%     -    2s
     0     0 1332166.79    0  150 1471991.96 1332166.79  9.50%     -    2s
H    0     0                    1468319.3944 1332166.79  9.27%     -    3s
     0     0 1332292.47    0  167 1468319.39 1332292.47  9.26%     -    3s
     0     0 1332419.15    0  164 1468319.39 1332419.15  9.26%     -    3s
H    0     0                    1467462.4630 1332419.15  9.20%     -    3s
H    0     0                    1459024.9502 1332419.15  8.68%     -    3s
H    0     0                    1458800.4840 1332419.15  8.66%     -    3s
     0     0 1332867.24    0  173 1458800.48 1332867.24  8.63%     -    3s
     0     0 1332945.71    0  171 1458800.48 1332945.71  8.63%     -    3s
     0     0 1332950.78    0  169 1458800.48 1332950.78  8.63%     -    3s
     0     0 1332950.78    0  169 1458800.48 1332950.78  8.63%     -    3s
     0     0 1333026.54    0  175 1458800.48 1333026.54  8.62%     -    3s
H    0     0                    1450965.1453 1333026.64  8.13%     -    4s
H    0     0                    1448939.9967 1333026.64  8.00%     -    4s
     0     0 1333036.33    0  179 1448940.00 1333036.33  8.00%     -    4s
     0     0 1333037.24    0  176 1448940.00 1333037.24  8.00%     -    4s
     0     0 1333037.38    0  176 1448940.00 1333037.38  8.00%     -    4s
     0     0 1333145.02    0  181 1448940.00 1333145.02  7.99%     -    4s
     0     0 1333172.42    0  186 1448940.00 1333172.42  7.99%     -    4s
     0     0 1333180.16    0  186 1448940.00 1333180.16  7.99%     -    4s
