
Gurobi 13.0.2 (linux64, Python) logging started Thu Aug 13 21:11:08 2026

Set parameter LogToConsole to value 0
Set parameter Username
Set parameter LicenseID to value 2748191
Set parameter TimeLimit to value 120
Set parameter LogFile to value "output/bf_sae1006_045/weighted_loss/retail_y_2__retail_v_4__rolled_leftover_4/period_4/gurobi.log"
Academic license - for non-commercial use only - expires 2026-12-01
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: 13th Gen Intel(R) Core(TM) i7-13700HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 24 threads

Non-default parameters:
TimeLimit  120
LogToConsole  0

Optimize a model with 171544 rows, 133322 columns and 514824 nonzeros (Min)
Model fingerprint: 0x26a3eaaa
Model has 54396 linear objective coefficients and an objective constant of 204894.1722672
Variable types: 109254 continuous, 24068 integer (24068 binary)
Coefficient statistics:
  Matrix range     [1e-02, 1e+04]
  Objective range  [1e+01, 2e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-01, 1e+05]

Presolve removed 118448 rows and 92358 columns
Presolve time: 1.42s
Presolved: 53096 rows, 40964 columns, 388764 nonzeros
Variable types: 26920 continuous, 14044 integer (14044 binary)
Found heuristic solution: objective 2.948828e+07
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...

Concurrent spin time: 0.27s (can be avoided by choosing Method=3)

Solved with primal simplex

Extra simplex iterations after uncrush: 2

Root relaxation: objective 1.572474e+06, 68988 iterations, 2.33 seconds (5.36 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1572473.80    0  203 2.9488e+07 1572473.80  94.7%     -    4s
H    0     0                    4557964.2348 1572473.80  65.5%     -    4s
H    0     0                    4453246.5339 1572473.80  64.7%     -    4s
H    0     0                    4453216.0907 1572473.80  64.7%     -    4s
H    0     0                    4452770.4299 1572473.80  64.7%     -    4s
H    0     0                    4452740.2855 1572473.80  64.7%     -    4s
H    0     0                    4452389.5825 1572473.80  64.7%     -    4s
H    0     0                    4452116.0040 1572473.80  64.7%     -    4s
H    0     0                    4452066.0106 1572473.80  64.7%     -    4s
H    0     0                    4215209.0411 1572473.80  62.7%     -    4s
H    0     0                    3492380.6266 1572473.80  55.0%     -    4s
H    0     0                    3434749.9043 1572473.80  54.2%     -    4s
H    0     0                    3337766.4963 1572473.80  52.9%     -    5s
H    0     0                    3327094.4782 1572473.80  52.7%     -    5s
H    0     0                    3285091.6036 1572473.80  52.1%     -    5s
H    0     0                    3231233.5707 1572473.80  51.3%     -    5s
H    0     0                    3229209.7885 1572473.80  51.3%     -    5s
H    0     0                    3227008.2642 1572473.80  51.3%     -    5s
H    0     0                    3201251.5534 1572473.80  50.9%     -    5s
H    0     0                    3076844.4723 1572473.80  48.9%     -    6s
H    0     0                    2916279.7988 1572473.80  46.1%     -    6s
H    0     0                    2908100.4865 1572473.80  45.9%     -    6s
H    0     0                    2907408.4336 1572473.80  45.9%     -    6s
H    0     0                    2728018.9147 1572473.80  42.4%     -    6s
H    0     0                    2609345.8969 1572473.80  39.7%     -    6s
H    0     0                    2568478.8436 1572473.80  38.8%     -    6s
H    0     0                    2568404.5687 1572473.80  38.8%     -    6s
H    0     0                    2531992.7842 1572473.80  37.9%     -    6s
     0     0 1573143.18    0  211 2531992.78 1573143.18  37.9%     -    6s
H    0     0                    2517563.3818 1573143.29  37.5%     -    6s
H    0     0                    2368451.0534 1573143.29  33.6%     -    6s
H    0     0                    2364460.7046 1573143.29  33.5%     -    6s
H    0     0                    2262461.5783 1573143.29  30.5%     -    7s
H    0     0                    2260195.1339 1573143.29  30.4%     -    7s
H    0     0                    2205305.6417 1573143.29  28.7%     -    7s
H    0     0                    2205304.7137 1573143.29  28.7%     -    7s
H    0     0                    2205152.4337 1573143.29  28.7%     -    7s
H    0     0                    2200777.5274 1573143.29  28.5%     -    7s
H    0     0                    2199002.7947 1573143.29  28.5%     -    7s
H    0     0                    2198542.3128 1573143.29  28.4%     -    7s
H    0     0                    2195787.8965 1573143.29  28.4%     -    7s
H    0     0                    2195320.4041 1584460.11  27.8%     -   10s
     0     0 1584460.11    0  184 2195320.40 1584460.11  27.8%     -   10s
H    0     0                    2194812.3470 1584460.20  27.8%     -   10s
H    0     0                    2193648.8309 1584460.20  27.8%     -   11s
H    0     0                    2191834.3555 1584460.20  27.7%     -   11s
H    0     0                    2191193.1127 1584460.20  27.7%     -   11s
H    0     0                    2191042.4273 1584460.20  27.7%     -   12s
H    0     0                    2191001.3302 1584460.20  27.7%     -   16s
H    0     0                    2191001.2075 1584460.20  27.7%     -   16s
H    0     0                    2190634.5297 1584481.26  27.7%     -   17s
H    0     0                    2119126.9537 1584481.26  25.2%     -   17s
H    0     0                    2092193.2097 1584481.26  24.3%     -   17s
H    0     0                    2092096.0979 1584481.26  24.3%     -   17s
H    0     0                    2092010.6311 1584481.26  24.3%     -   17s
H    0     0                    2089588.2891 1584481.26  24.2%     -   17s
