instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.77,0.0,2.22,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.88,0.0,2.12,87.74,12.26,0.0
bf_qcv_045,period_3,3,97.88,0.0,2.12,0.0,0.0,0.0
bf_qcv_045,period_4,4,97.71,0.01,2.28,0.0,0.0,0.0
bf_qcv_045,period_5,5,97.95,0.0,2.05,91.46,8.54,0.0
bf_sae1006_045,period_1,1,96.4,0.57,3.03,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.58,0.16,3.26,99.06,0.94,0.58
bf_sae1006_045,period_3,3,96.73,0.1,3.17,96.81,3.19,0.14
bf_sae1006_045,period_4,4,96.68,0.24,3.08,82.21,17.79,0.13
bf_sae1006_045,period_5,5,96.65,0.27,3.08,99.21,0.79,0.15
bf_sae1006_050,period_1,1,78.49,20.08,1.43,0.0,0.0,0.0
bf_sae1006_050,period_2,2,78.78,19.53,1.68,84.06,15.94,22.43
bf_sae1006_050,period_3,3,91.89,6.1,2.01,97.9,2.1,16.56
bf_sae1006_050,period_4,4,90.8,7.97,1.23,26.99,73.01,1.87
bf_sae1006_050,period_5,5,81.73,16.48,1.78,73.71,26.29,4.04
bz_nbr7008_043,period_1,1,93.72,1.84,4.44,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,92.35,2.16,5.49,81.8,18.2,1.73
bz_nbr7008_043,period_3,3,93.95,0.89,5.16,82.16,17.84,1.72
bz_nbr7008_043,period_4,4,91.45,3.55,5.0,83.22,16.78,0.98
bz_nbr7008_043,period_5,5,93.81,1.06,5.13,97.77,2.23,2.37
bz_nbr7008_075,period_1,1,89.46,8.28,2.26,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.74,11.81,2.46,74.49,25.51,7.97
bz_nbr7008_075,period_3,3,94.44,3.02,2.54,84.62,15.38,9.18
bz_nbr7008_075,period_4,4,84.59,14.27,1.14,75.56,24.44,2.73
bz_nbr7008_075,period_5,5,92.76,5.55,1.69,45.29,54.71,5.22
bz_nbr7008_095,period_1,1,95.85,1.28,2.87,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,91.07,5.87,3.06,95.47,4.53,1.34
bz_nbr7008_095,period_3,3,95.02,2.66,2.32,88.35,11.65,4.42
bz_nbr7008_095,period_4,4,96.58,0.74,2.68,93.38,6.62,3.48
bz_nbr7008_095,period_5,5,96.72,0.48,2.8,98.57,1.43,0.57
