instance,period,period_number,coil_id,processed,used,coil_width,coil_weight,coil_ton_value,used_length,strip_count,strip_produced_weight,strip_leftover_weight,strip_retail_weight,strip_scrap_weight,strip_loss_weight,lateral_leftover_weight,lateral_leftover_retail_weight,lateral_leftover_scrap_weight,edge_trim_weight,rolled_leftover_weight,rolled_leftover_width,rolled_leftover_length,processed_scrap_weight
bf_qcv_045,period_1,1,114,0,1,1000.0,9764.95,5288.27,2757.29,2,9380.71,0.0,0.0,0.0,3.4,283.18,0.0,283.18,97.65,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,120,0,1,1000.0,8424.14,5288.27,2378.69,2,8080.54,11.65,11.65,0.0,3.4,244.3,0.0,244.3,84.24,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,122,0,1,1000.0,7122.49,5288.27,2011.15,2,7033.52,0.0,0.0,0.0,3.5,14.24,0.0,14.24,71.22,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,142,0,1,1000.0,8859.15,5288.27,2501.52,2,8510.24,0.0,0.0,0.0,3.4,256.92,0.0,256.92,88.59,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,146,0,1,1000.0,8447.56,5288.27,2385.31,2,8114.7,0.0,0.0,0.0,3.4,244.98,0.0,244.98,84.48,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,150,0,1,1000.0,8067.69,5288.27,2278.04,2,7967.38,0.0,0.0,0.0,3.5,16.14,0.0,16.14,80.68,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,157,0,1,1000.0,9296.83,5288.27,2625.11,2,8679.93,0.0,0.0,0.0,3.31,520.62,0.0,520.62,92.97,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,162,0,1,1000.0,8451.68,5288.27,2386.47,2,8118.66,0.0,0.0,0.0,3.4,245.1,0.0,245.1,84.52,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,165,0,1,1000.0,8589.81,5288.27,2425.47,2,8251.4,0.0,0.0,0.0,3.4,249.1,0.0,249.1,85.9,0.0,1000.0,0.0,0.0
bf_qcv_045,period_1,1,168,0,1,880.0,8196.89,5302.87,2630.14,2,8091.35,0.0,0.0,0.0,3.08,9.31,0.0,9.31,93.15,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,171,0,1,880.0,6277.12,5302.87,2014.14,2,6174.19,0.0,0.0,0.0,3.07,28.53,0.0,28.53,71.33,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,175,0,1,880.0,7080.64,5302.87,2271.97,2,6964.93,0.0,0.0,0.0,3.07,32.18,0.0,32.18,80.46,0.0,880.0,0.0,0.0
bf_qcv_045,period_1,1,176,0,1,880.0,7459.93,5302.87,2393.67,2,7338.18,0.0,0.0,0.0,3.07,33.91,0.0,33.91,84.77,0.0,880.0,0.0,0.0
