instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_lateral_retail_weight,new_lateral_scrap_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight
bf_qcv_045,period_1,1,40,311297.54,304651.7,9.54,2.07,137.47,3309.12,0.0,3309.12,3187.69,0.0,0,0,0,0.0,0.0,0.0,304651.7,1,9.54
bf_qcv_045,period_2,2,35,279682.8,273764.14,0.0,2.02,121.76,2961.14,0.0,2961.14,2833.78,0.0,0,1,1,9.54,6.34,3.2,273770.48,0,0.0
bf_qcv_045,period_3,3,45,347784.27,340432.24,0.0,3.62,153.84,3615.42,0.0,3615.42,3579.26,0.0,0,0,0,0.0,0.0,0.0,340432.24,0,0.0
bf_qcv_045,period_4,4,29,236517.75,230663.98,239.07,1.32,99.85,3094.91,0.0,3094.91,2418.69,0.0,0,0,0,0.0,0.0,0.0,230663.98,3,239.07
bf_qcv_045,period_5,5,50,375421.51,368131.85,0.0,2.65,173.2,3284.67,0.0,3284.67,3829.21,0.0,0,3,3,239.07,232.8,6.27,368364.65,0,0.0
bf_sae1006_045,period_1,1,49,395925.07,382001.45,2877.06,11.2,166.01,6973.27,0.0,6973.27,3895.99,0.0,0,0,0,0.0,0.0,0.0,382001.45,5,2877.06
bf_sae1006_045,period_2,2,50,394266.99,381447.59,1215.16,4.49,170.63,7527.43,0.0,7527.43,3901.63,0.0,0,5,5,2877.06,2869.11,7.95,384316.7,6,1215.16
bf_sae1006_045,period_3,3,55,441783.77,426523.43,1465.34,8.81,186.24,9230.46,1928.42,7302.04,4369.41,0.0,0,6,6,1215.16,1204.64,10.52,427728.07,6,3393.76
bf_sae1006_045,period_4,4,36,295782.19,287289.4,925.32,5.78,121.99,4511.03,0.0,4511.03,2928.6,0.0,0,6,6,3393.76,3031.01,362.75,290320.41,6,925.33
bf_sae1006_045,period_5,5,61,486927.13,471535.77,1896.01,8.7,205.14,8311.46,0.0,8311.46,4969.91,0.0,0,6,6,925.33,913.92,11.41,472449.69,7,1896.0
