instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_lateral_retail_value,new_lateral_scrap_value,new_edge_trim_value,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value,total_strip_produced_value,retails_generated_count,retails_generated_value
bf_qcv_045,period_1,1,40,1612517.93,1577684.65,192.02,31.94,708.14,17318.31,0.0,17318.31,16582.85,0.0,0,0,0,0.0,0.0,0.0,1577684.65,1,192.02
bf_qcv_045,period_2,2,35,1444212.26,1413350.62,0.0,48.59,624.93,15487.12,0.0,15487.12,14701.33,0.0,0,1,1,192.02,170.91,21.11,1413521.53,0,0.0
bf_qcv_045,period_3,3,45,1802551.92,1763998.94,187.92,12.54,792.92,18929.26,0.0,18929.26,18630.51,0.0,0,0,0,0.0,0.0,0.0,1763998.94,3,187.92
bf_qcv_045,period_4,4,30,1225351.45,1196781.14,700.97,13.66,531.79,14731.91,0.0,14731.91,12591.94,0.0,0,3,3,187.92,159.61,28.31,1196940.75,2,700.97
bf_qcv_045,period_5,5,49,1940685.85,1902380.48,363.04,12.52,873.29,17166.65,0.0,17166.65,19890.35,0.0,0,2,2,700.97,680.56,20.41,1903061.04,3,363.04
bf_sae1006_045,period_1,1,50,2031693.4,1950495.2,9195.82,31.49,864.91,40037.08,0.0,40037.08,19782.5,11286.17,1,0,0,0.0,0.0,0.0,1950495.2,6,20482.0
bf_sae1006_045,period_2,2,49,2015585.66,1939679.89,8429.7,50.61,847.26,41465.2,0.0,41465.2,19883.33,5229.45,1,6,6,20482.0,20255.69,226.3,1959935.58,5,13659.15
bf_sae1006_045,period_3,3,54,2248763.24,2165667.58,15799.63,27.1,951.44,44224.76,0.0,44224.76,22092.47,0.0,0,5,5,13659.15,13000.24,658.91,2178667.81,8,15799.63
bf_sae1006_045,period_4,4,36,1508122.71,1460038.29,5767.55,7.95,642.53,27426.24,0.0,27426.24,14240.23,0.0,0,8,8,15799.63,15723.78,75.86,1475762.07,6,5767.55
bf_sae1006_045,period_5,5,61,2489609.78,2400454.76,14925.83,13.56,1072.47,49029.91,0.0,49029.91,24112.98,0.0,0,6,6,5767.55,5702.31,65.24,2406157.07,7,14925.83
bf_sae1006_050,period_1,1,4,177663.5,139453.43,0.0,0.0,95.5,1720.18,0.0,1720.18,1187.11,35207.33,2,0,0,0.0,0.0,0.0,139453.43,2,35207.33
bf_sae1006_050,period_2,2,3,131588.05,99183.53,0.0,0.0,71.59,1240.26,0.0,1240.26,844.52,30248.21,2,2,2,35207.33,34470.03,737.3,133653.57,2,30248.21
bf_sae1006_050,period_3,3,3,131588.05,122377.21,6562.16,0.0,71.74,1480.38,0.0,1480.38,1096.52,0.0,0,2,2,30248.21,29575.48,672.73,151952.69,2,6562.16
bf_sae1006_050,period_4,4,3,131588.05,115206.98,1824.15,0.0,71.59,1535.33,0.0,1535.33,996.94,11953.07,1,2,2,6562.16,6551.26,10.9,121758.24,2,13777.22
bf_sae1006_050,period_5,5,4,188200.81,177648.83,6501.73,0.0,95.5,2386.36,0.0,2386.36,1568.28,0.0,0,2,2,13777.22,13510.5,266.72,191159.34,5,6501.83
bz_nbr7008_043,period_1,1,18,858856.23,809894.56,10971.17,50.94,339.22,29218.64,0.0,29218.64,8381.54,0.0,0,0,0,0.0,0.0,0.0,809894.56,10,10971.17
bz_nbr7008_043,period_2,2,18,806579.15,747147.91,9847.6,23.99,352.89,32744.98,0.0,32744.98,7566.62,8895.04,1,10,10,10971.17,10881.5,89.67,758029.42,9,18742.64
bz_nbr7008_043,period_3,3,19,864476.74,804184.13,9495.76,226.75,345.45,38045.9,9953.48,28092.43,8561.11,3617.48,1,9,9,18742.64,17865.1,877.53,822049.23,10,23066.77
bz_nbr7008_043,period_4,4,15,713783.06,639220.2,20489.18,14.65,290.31,29351.17,7802.04,21549.13,6629.51,17787.87,2,10,10,23066.77,17639.48,5427.29,656859.68,9,46079.09
bz_nbr7008_043,period_5,5,22,1104103.04,994991.65,30029.51,74.27,421.53,39027.34,0.0,39027.34,10349.76,29208.7,3,9,9,46079.09,42303.4,3775.69,1037295.05,13,59238.16
bz_nbr7008_075,period_1,1,6,215298.54,192612.48,16509.84,0.0,184.49,3838.81,2499.57,1339.24,2153.03,0.0,0,0,0,0.0,0.0,0.0,192612.48,11,19009.41
bz_nbr7008_075,period_2,2,5,182494.62,156101.92,17461.15,0.0,150.27,6956.32,6841.72,114.6,1824.97,0.0,0,11,11,19009.41,10444.58,8564.83,166546.5,7,24302.87
bz_nbr7008_075,period_3,3,6,214525.88,175528.29,8345.58,0.0,182.94,5116.25,4517.27,598.99,1910.92,23441.9,2,7,7,24302.87,19083.79,5219.08,194612.08,8,36304.75
bz_nbr7008_075,period_4,4,4,141132.09,126592.94,6201.71,0.0,118.99,6807.12,6736.38,70.74,1411.33,0.0,0,8,8,36304.75,30029.35,6275.4,156622.29,9,12938.09
bz_nbr7008_075,period_5,5,7,257578.63,215308.12,10900.04,0.0,212.12,6220.08,5591.21,628.87,2349.89,22588.33,2,9,9,12938.09,7716.39,5221.7,223024.52,9,39079.53
bz_nbr7008_095,period_1,1,6,305604.03,292911.62,4040.66,0.0,235.77,5359.84,0.0,5359.84,3056.09,0.0,0,0,0,0.0,0.0,0.0,292911.62,5,4040.66
bz_nbr7008_095,period_2,2,6,303415.78,276082.58,1362.75,0.0,235.77,5149.89,0.0,5149.89,2856.91,17727.78,2,5,5,4040.66,3984.21,56.45,280066.79,4,19090.52
bz_nbr7008_095,period_3,3,7,358106.31,337379.93,1934.9,0.0,275.98,5281.63,0.0,5281.63,3483.62,9750.2,1,4,4,19090.52,18643.51,447.01,356023.44,4,11685.1
bz_nbr7008_095,period_4,4,5,255077.24,244219.43,4392.04,0.0,197.34,3717.54,0.0,3717.54,2550.78,0.0,0,4,4,11685.1,11313.1,372.0,255532.54,4,4391.99
bz_nbr7008_095,period_5,5,6,335079.37,323110.98,2606.42,0.0,235.77,5775.3,0.0,5775.3,3350.74,0.0,0,4,4,4391.99,4343.65,48.33,327454.63,11,2606.47
