instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.78,0.01,2.21,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.88,0.0,2.12,87.79,12.21,0.01
bf_qcv_045,period_3,3,97.88,0.0,2.11,81.2,18.8,0.0
bf_qcv_045,period_4,4,97.6,0.02,2.38,80.08,19.92,0.0
bf_qcv_045,period_5,5,98.06,0.0,1.94,86.8,13.2,0.01
bf_sae1006_045,period_1,1,96.43,0.55,3.02,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.4,0.48,3.11,97.86,2.14,0.55
bf_sae1006_045,period_3,3,96.9,0.29,2.81,92.9,7.1,0.42
bf_sae1006_045,period_4,4,95.76,1.46,2.77,98.44,1.56,0.43
bf_sae1006_045,period_5,5,96.63,0.56,2.81,96.92,3.08,0.91
bf_sae1006_050,period_1,1,78.49,20.72,0.78,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.55,23.67,0.78,93.0,7.0,25.62
bf_sae1006_050,period_3,3,93.08,5.3,1.62,94.61,5.39,19.39
bf_sae1006_050,period_4,4,87.63,11.48,0.88,92.4,7.6,5.29
bf_sae1006_050,period_5,5,94.48,3.51,2.01,88.31,11.69,6.98
bz_nbr7008_043,period_1,1,92.8,2.93,4.27,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,93.07,0.82,6.11,86.33,13.67,2.92
bz_nbr7008_043,period_3,3,92.1,2.75,5.16,98.9,1.1,0.77
bz_nbr7008_043,period_4,4,91.98,3.06,4.96,98.24,1.76,3.68
bz_nbr7008_043,period_5,5,92.89,2.33,4.78,94.39,5.61,1.91
bz_nbr7008_075,period_1,1,89.46,9.43,1.11,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.7,13.21,1.09,64.57,35.43,7.87
bz_nbr7008_075,period_3,3,93.56,5.25,1.19,81.76,18.24,9.94
bz_nbr7008_075,period_4,4,83.53,15.33,1.14,62.89,37.11,3.95
bz_nbr7008_075,period_5,5,87.4,11.44,1.17,79.03,20.97,9.78
bz_nbr7008_095,period_1,1,95.85,1.32,2.83,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,90.99,6.29,2.72,98.8,1.2,1.43
bz_nbr7008_095,period_3,3,94.18,3.81,2.01,98.28,1.72,5.27
bz_nbr7008_095,period_4,4,96.05,1.48,2.46,81.38,18.62,4.35
bz_nbr7008_095,period_5,5,96.18,1.03,2.79,97.57,2.43,1.12
