instance,period,period_number,coil_id,processed,used,coil_width,coil_weight,coil_ton_value,used_length,strip_count,strip_produced_weight,strip_leftover_weight,strip_retail_weight,strip_scrap_weight,strip_loss_weight,lateral_leftover_weight,lateral_leftover_retail_weight,lateral_leftover_scrap_weight,edge_trim_weight,rolled_leftover_weight,rolled_leftover_width,rolled_leftover_length,processed_scrap_weight
bf_sae1006_050,period_1,1,1,0,1,1200.0,8758.05,5164.94,1854.26,6,6984.43,0.0,0.0,0.0,3.77,1696.87,1696.87,0.0,72.98,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_1,1,3,0,1,1200.0,7815.78,5164.94,1654.76,6,5854.87,377.7,377.7,0.0,3.77,1514.31,1514.31,0.0,65.13,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_1,1,5,0,1,1200.0,8920.81,5164.94,1888.72,2,6389.86,0.0,0.0,0.0,3.38,2453.22,2453.22,0.0,74.34,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_1,1,6,0,1,1200.0,8903.34,5164.94,1885.02,4,7770.84,171.18,171.18,0.0,4.22,882.91,882.91,0.0,74.19,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_2,2,1,0,1,1200.0,8758.05,5164.94,1854.26,3,6464.13,578.65,578.65,0.0,3.8,1638.49,1638.49,0.0,72.98,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_2,2,3,0,1,1200.0,7815.78,5164.94,1654.76,4,6971.37,0.0,0.0,0.0,4.22,775.06,775.06,0.0,65.13,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_2,2,6,0,1,1200.0,8903.34,5164.94,1885.02,2,5848.28,529.06,529.06,0.0,3.38,2448.42,2448.42,0.0,74.19,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_2,2,10,1,1,330.0,2453.22,5164.94,1888.72,3,2351.62,0.0,0.0,0.0,1.25,26.02,0.0,26.02,74.34,0.0,330.0,0.0,101.6
bf_sae1006_050,period_2,2,11,1,1,430.0,171.18,5164.94,101.14,1,169.49,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,430.0,0.0,1.69
bf_sae1006_050,period_2,2,12,1,1,119.0,882.91,5164.94,1885.01,1,782.33,0.0,0.0,0.0,0.42,25.97,0.0,25.97,74.19,0.0,119.0,0.0,100.58
bf_sae1006_050,period_2,2,7,1,1,232.5,1696.87,5164.94,1854.26,2,1539.12,0.0,0.0,0.0,0.83,83.93,0.0,83.93,72.98,0.0,232.5,0.0,157.75
bf_sae1006_050,period_2,2,8,1,1,105.5,377.7,5164.94,909.58,1,377.28,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,105.5,0.0,0.42
bf_sae1006_050,period_2,2,9,1,1,232.5,1514.31,5164.94,1654.77,2,1373.45,0.0,0.0,0.0,0.83,74.9,0.0,74.9,65.13,0.0,232.5,0.0,140.86
bf_sae1006_050,period_3,3,1,0,1,1200.0,8758.05,5164.94,1854.26,4,7623.58,188.76,188.76,0.0,4.22,868.51,868.51,0.0,72.98,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_3,3,4,0,1,1200.0,10960.97,5164.94,2320.67,3,8815.21,0.0,0.0,0.0,3.8,2050.61,2050.61,0.0,91.34,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_3,3,6,0,1,1200.0,8903.34,5164.94,1885.02,4,7302.77,639.24,639.24,0.0,4.22,882.91,882.91,0.0,74.19,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_3,3,10,1,1,430.0,529.06,5164.94,312.59,1,527.37,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,430.0,0.0,1.69
bf_sae1006_050,period_3,3,11,1,1,330.0,2448.42,5164.94,1885.02,3,2347.01,0.0,0.0,0.0,1.25,25.97,0.0,25.97,74.19,0.0,330.0,0.0,101.41
bf_sae1006_050,period_3,3,7,1,1,105.5,578.65,5164.94,1393.5,1,578.23,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,105.5,0.0,0.42
bf_sae1006_050,period_3,3,8,1,1,224.5,1638.49,5164.94,1854.27,2,1539.13,0.0,0.0,0.0,0.83,25.54,0.0,25.54,72.98,0.0,224.5,0.0,99.36
bf_sae1006_050,period_3,3,9,1,1,119.0,775.06,5164.94,1654.75,1,686.72,0.0,0.0,0.0,0.42,22.8,0.0,22.8,65.13,0.0,119.0,0.0,88.34
bf_sae1006_050,period_4,4,1,0,1,1200.0,8758.05,5164.94,1854.26,4,7812.34,0.0,0.0,0.0,4.22,868.51,868.51,0.0,72.98,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_4,4,3,0,1,1200.0,7815.78,5164.94,1654.76,7,3515.37,3403.92,3403.92,0.0,4.18,827.17,827.17,0.0,65.13,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_4,4,6,0,1,1200.0,8903.34,5164.94,1885.02,4,7942.02,0.0,0.0,0.0,4.22,882.91,882.91,0.0,74.19,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_4,4,10,1,1,105.5,639.24,5164.94,1539.42,1,638.82,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,105.5,0.0,0.42
bf_sae1006_050,period_4,4,11,1,1,119.0,882.91,5164.94,1885.01,1,782.33,0.0,0.0,0.0,0.42,25.97,0.0,25.97,74.19,0.0,119.0,0.0,100.58
bf_sae1006_050,period_4,4,7,1,1,430.0,188.76,5164.94,111.53,1,187.07,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,430.0,0.0,1.69
bf_sae1006_050,period_4,4,8,1,1,119.0,868.51,5164.94,1854.27,1,769.57,0.0,0.0,0.0,0.42,25.54,0.0,25.54,72.98,0.0,119.0,0.0,98.94
bf_sae1006_050,period_4,4,9,1,1,224.5,2050.61,5164.94,2320.66,2,1926.47,0.0,0.0,0.0,0.83,31.97,0.0,31.97,91.34,0.0,224.5,0.0,124.14
bf_sae1006_050,period_5,5,1,0,1,1200.0,8758.05,5164.94,1854.26,4,7812.34,0.0,0.0,0.0,4.22,868.51,868.51,0.0,72.98,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_5,5,2,0,1,1200.0,9053.57,5164.94,1916.83,4,8076.1,0.0,0.0,0.0,4.22,897.81,897.81,0.0,75.45,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_5,5,5,0,1,1200.0,8920.81,5164.94,1888.72,4,7541.71,415.9,415.9,0.0,4.22,884.65,884.65,0.0,74.34,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_5,5,6,0,1,1200.0,8903.34,5164.94,1885.02,4,7942.02,0.0,0.0,0.0,4.22,882.91,882.91,0.0,74.19,0.0,1200.0,0.0,0.0
bf_sae1006_050,period_5,5,10,1,1,105.5,686.72,5164.94,1653.76,1,686.3,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,105.5,0.0,0.42
bf_sae1006_050,period_5,5,11,1,1,105.5,686.72,5164.94,1653.76,1,686.3,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,105.5,0.0,0.42
bf_sae1006_050,period_5,5,12,1,1,105.5,686.72,5164.94,1653.76,1,686.3,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,105.5,0.0,0.42
bf_sae1006_050,period_5,5,13,1,1,105.5,686.72,5164.94,1653.76,1,686.3,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,105.5,0.0,0.42
bf_sae1006_050,period_5,5,14,1,1,127.0,827.17,5164.94,1654.76,1,686.72,0.0,0.0,0.0,0.42,74.9,0.0,74.9,65.13,0.0,127.0,0.0,140.45
bf_sae1006_050,period_5,5,15,1,1,119.0,882.91,5164.94,1885.01,1,782.33,0.0,0.0,0.0,0.42,25.97,0.0,25.97,74.19,0.0,119.0,0.0,100.58
bf_sae1006_050,period_5,5,7,1,1,119.0,868.51,5164.94,1854.27,1,769.57,0.0,0.0,0.0,0.42,25.54,0.0,25.54,72.98,0.0,119.0,0.0,98.94
bf_sae1006_050,period_5,5,8,1,1,430.0,112.34,5164.94,66.38,1,110.65,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,430.0,0.0,1.69
bf_sae1006_050,period_5,5,9,1,1,105.5,544.7,5164.94,1311.75,1,544.28,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,105.5,0.0,0.42
bz_nbr7008_095,period_1,1,10,0,1,1000.0,8416.52,5412.45,1125.73,3,8324.95,0.0,0.0,0.0,7.4,0.0,0.0,0.0,84.17,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_1,1,11,0,1,1000.0,10148.98,5412.45,1357.45,3,10008.37,31.72,31.72,0.0,7.4,0.0,0.0,0.0,101.49,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_1,1,3,0,1,1000.0,11126.31,5412.45,1488.17,5,9111.33,6.12,6.12,0.0,6.13,1891.47,1891.47,0.0,111.26,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_1,1,4,0,1,1000.0,9000.68,5412.45,1203.86,4,8623.0,136.38,136.38,0.0,7.28,144.01,0.0,144.01,90.01,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_1,1,6,0,1,1000.0,9450.33,5412.45,1264.0,3,9348.42,0.0,0.0,0.0,7.4,0.0,0.0,0.0,94.5,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_1,1,8,0,1,1000.0,10079.29,5412.45,1348.13,3,8702.05,0.0,0.0,0.0,6.46,1269.99,1269.99,0.0,100.79,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_2,2,10,0,1,1000.0,8416.52,5412.45,1125.73,4,7484.31,706.1,706.1,0.0,7.28,134.66,0.0,134.66,84.17,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_2,2,2,0,1,1000.0,9411.76,5412.45,1258.85,3,7533.74,1776.5,1776.5,0.0,7.4,0.0,0.0,0.0,94.12,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_2,2,4,0,1,1000.0,9000.68,5412.45,1203.86,3,7770.13,0.0,0.0,0.0,6.46,1134.09,1134.09,0.0,90.01,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_2,2,5,0,1,1000.0,9700.28,5412.45,1297.44,3,9595.88,0.0,0.0,0.0,7.4,0.0,0.0,0.0,97.0,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_2,2,6,0,1,1000.0,9450.33,5412.45,1264.0,4,6893.53,660.76,660.76,0.0,5.98,1795.56,1795.56,0.0,94.5,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_2,2,8,0,1,1000.0,10079.29,5412.45,1348.13,3,9971.1,0.0,0.0,0.0,7.4,0.0,0.0,0.0,100.79,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_2,2,12,1,1,110.0,6.12,5412.45,7.44,1,5.3,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.82
bz_nbr7008_095,period_2,2,13,1,1,170.0,1891.47,5412.45,1488.17,1,1223.07,0.0,0.0,0.0,0.82,556.31,0.0,556.31,111.26,0.0,170.0,0.0,668.4
bz_nbr7008_095,period_2,2,14,1,1,554.0,101.93,5412.45,24.61,1,97.79,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,554.0,0.0,4.14
bz_nbr7008_095,period_2,2,15,1,1,200.0,34.45,5412.45,23.04,1,32.95,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,200.0,0.0,1.5
bz_nbr7008_095,period_2,2,16,1,1,126.0,1269.99,5412.45,1348.13,1,1107.9,0.0,0.0,0.0,0.82,60.48,0.0,60.48,100.79,0.0,126.0,0.0,162.09
bz_nbr7008_095,period_2,2,17,1,1,330.0,31.72,5412.45,12.86,1,29.25,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,330.0,0.0,2.47
bz_nbr7008_095,period_3,3,1,0,1,1000.0,10104.58,5412.45,1351.51,3,8683.51,0.0,0.0,0.0,6.43,1313.6,1313.6,0.0,101.05,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_3,3,10,0,1,1000.0,8416.52,5412.45,1125.73,4,8004.96,185.45,185.45,0.0,7.28,134.66,0.0,134.66,84.17,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_3,3,2,0,1,1000.0,9411.76,5412.45,1258.85,3,8913.51,58.18,58.18,0.0,7.13,338.82,0.0,338.82,94.12,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_3,3,4,0,1,1000.0,9000.68,5412.45,1203.86,3,8903.27,0.0,0.0,0.0,7.4,0.0,0.0,0.0,90.01,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_3,3,5,0,1,1000.0,9700.28,5412.45,1297.44,3,7044.47,1330.11,1330.11,0.0,6.46,1222.24,1222.24,0.0,97.0,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_3,3,6,0,1,1000.0,9450.33,5412.45,1264.0,3,9202.92,145.5,145.5,0.0,7.4,0.0,0.0,0.0,94.5,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_3,3,8,0,1,1000.0,10079.29,5412.45,1348.13,3,9971.1,0.0,0.0,0.0,7.4,0.0,0.0,0.0,100.79,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_3,3,12,1,1,330.0,1776.5,5412.45,720.03,2,1666.52,0.0,0.0,0.0,2.32,53.83,0.0,53.83,53.83,0.0,330.0,0.0,109.98
bz_nbr7008_095,period_3,3,13,1,1,126.0,1134.09,5412.45,1203.87,1,989.26,0.0,0.0,0.0,0.82,54.0,0.0,54.0,90.01,0.0,126.0,0.0,144.83
bz_nbr7008_095,period_3,3,14,1,1,200.0,660.76,5412.45,441.89,1,659.26,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,200.0,0.0,1.5
bz_nbr7008_095,period_3,3,15,1,1,190.0,1795.56,5412.45,1264.0,1,1038.71,0.0,0.0,0.0,0.82,661.52,0.0,661.52,94.5,0.0,190.0,0.0,756.85
bz_nbr7008_095,period_3,3,16,1,1,554.0,247.09,5412.45,59.66,1,242.95,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,554.0,0.0,4.14
bz_nbr7008_095,period_3,3,17,1,1,110.0,459.01,5412.45,558.12,1,458.19,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.82
bz_nbr7008_095,period_4,4,10,0,1,1000.0,8416.52,5412.45,1125.73,3,7265.41,0.0,0.0,0.0,6.46,1060.48,1060.48,0.0,84.17,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_4,4,2,0,1,1000.0,9411.76,5412.45,1258.85,3,9310.24,0.0,0.0,0.0,7.4,0.0,0.0,0.0,94.12,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_4,4,4,0,1,1000.0,9000.68,5412.45,1203.86,3,8723.62,179.65,179.65,0.0,7.4,0.0,0.0,0.0,90.01,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_4,4,5,0,1,1000.0,9700.28,5412.45,1297.44,4,9284.66,117.36,117.36,0.0,7.25,194.01,0.0,194.01,97.0,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_4,4,6,0,1,1000.0,9450.33,5412.45,1264.0,3,8798.3,210.19,210.19,0.0,7.13,340.21,0.0,340.21,94.5,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_4,4,12,1,1,130.0,1313.6,5412.45,1351.52,1,1110.69,0.0,0.0,0.0,0.82,101.05,0.0,101.05,101.05,0.0,130.0,0.0,202.91
bz_nbr7008_095,period_4,4,13,1,1,200.0,58.18,5412.45,38.91,1,56.68,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,200.0,0.0,1.5
bz_nbr7008_095,period_4,4,14,1,1,554.0,1330.11,5412.45,321.13,2,1268.53,0.0,0.0,0.0,3.96,33.61,0.0,33.61,24.01,0.0,554.0,0.0,61.58
bz_nbr7008_095,period_4,4,15,1,1,126.0,1222.24,5412.45,1297.44,1,1066.21,0.0,0.0,0.0,0.82,58.2,0.0,58.2,97.0,0.0,126.0,0.0,156.03
bz_nbr7008_095,period_4,4,16,1,1,330.0,145.5,5412.45,58.97,1,143.03,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,330.0,0.0,2.47
bz_nbr7008_095,period_4,4,17,1,1,110.0,185.45,5412.45,225.49,1,184.63,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.82
bz_nbr7008_095,period_5,5,1,0,1,1000.0,10104.58,5412.45,1351.51,3,9996.13,0.0,0.0,0.0,7.4,0.0,0.0,0.0,101.05,0.0,1000.0,0.0,0.0
bz_nbr7008_095,period_5,5,2,0,1,1000.0,9411.76,5412.45,1258.85,3,8850.53,121.16,121.16,0.0,7.13,338.82,0.0,338.82,94.12,0.0,1000.0,0.0,0.0
