instance,objective,configuration,retail_y_coefficient,retail_v_coefficient,rolled_leftover_coefficient,period,period_number,coil_id,processed,used,coil_width,coil_weight,coil_ton_value,used_length,strip_count,strip_produced_weight,strip_leftover_weight,strip_retail_weight,strip_scrap_weight,strip_loss_weight,lateral_leftover_weight,lateral_leftover_retail_weight,lateral_leftover_scrap_weight,edge_trim_weight,rolled_leftover_weight,rolled_leftover_width,rolled_leftover_length,processed_scrap_weight
bf_qcv_045,new_coils_value,default,,,,period_1,1,102,0,1,1000.0,7505.42,5288.27,2119.28,2,7209.31,0.0,0.0,0.0,3.4,217.66,0.0,217.66,75.05,0.0,1000.0,0.0,0.0
bf_qcv_045,new_coils_value,default,,,,period_1,1,107,0,1,1000.0,9312.83,5288.27,2629.63,2,9197.58,0.0,0.0,0.0,3.5,18.63,0.0,18.63,93.13,0.0,1000.0,0.0,0.0
bf_qcv_045,new_coils_value,default,,,,period_1,1,114,0,1,1000.0,9764.95,5288.27,2757.29,2,9630.0,14.27,14.27,0.0,3.5,19.53,0.0,19.53,97.65,0.0,1000.0,0.0,0.0
bf_qcv_045,new_coils_value,default,,,,period_1,1,119,0,1,1000.0,8730.4,5288.27,2465.17,2,8150.89,0.0,0.0,0.0,3.31,488.9,0.0,488.9,87.3,0.0,1000.0,0.0,0.0
bf_qcv_045,new_coils_value,default,,,,period_1,1,123,0,1,1000.0,8934.09,5288.27,2522.69,2,8339.18,1.95,0.0,1.95,3.31,500.31,0.0,500.31,89.34,0.0,1000.0,0.0,0.0
bf_qcv_045,new_coils_value,default,,,,period_1,1,126,0,1,1000.0,9551.22,5288.27,2696.94,2,9433.11,0.0,0.0,0.0,3.5,19.1,0.0,19.1,95.51,0.0,1000.0,0.0,0.0
bf_qcv_045,new_coils_value,default,,,,period_1,1,142,0,1,1000.0,8859.15,5288.27,2501.52,2,8510.24,0.0,0.0,0.0,3.4,256.92,0.0,256.92,88.59,0.0,1000.0,0.0,0.0
bf_qcv_045,new_coils_value,default,,,,period_1,1,157,0,1,1000.0,9296.83,5288.27,2625.11,2,8930.85,0.0,0.0,0.0,3.4,269.61,0.0,269.61,92.97,0.0,1000.0,0.0,0.0
bf_qcv_045,new_coils_value,default,,,,period_1,1,162,0,1,1000.0,8451.68,5288.27,2386.47,2,7890.56,0.0,0.0,0.0,3.31,473.29,0.0,473.29,84.52,0.0,1000.0,0.0,0.0
bf_qcv_045,new_coils_value,default,,,,period_1,1,168,0,1,880.0,8196.89,5302.87,2630.14,2,8091.35,0.0,0.0,0.0,3.08,9.31,0.0,9.31,93.15,0.0,880.0,0.0,0.0
