scenario,objective,configuration,retail_y_coefficient,retail_v_coefficient,rolled_leftover_coefficient,instance,new_coils_used_count,new_coils_weight,new_coils_value,new_strip_produced_weight,new_strip_produced_value,new_strip_retail_weight,new_strip_retail_value,new_strip_scrap_weight,new_strip_scrap_value,new_strip_loss_weight,new_strip_loss_value,new_lateral_leftover_weight,new_lateral_leftover_value,new_lateral_retail_weight,new_lateral_retail_value,new_lateral_scrap_weight,new_lateral_scrap_value,new_edge_trim_weight,new_edge_trim_value,new_rolled_leftover_weight,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_coils_value,processed_strip_produced_weight,processed_strip_produced_value,processed_scrap_weight,processed_scrap_value,total_strip_produced_weight,total_strip_produced_value,retails_generated_count,retails_generated_weight,retails_generated_value,reusable_generated_weight,reusable_generated_value,total_scrap_weight,total_scrap_value,total_loss_weight,total_loss_value,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate,new_coils_weight_baseline_ncv,new_coils_weight_diff_from_ncv,new_coils_weight_pct_diff_from_ncv,new_coils_value_baseline_ncv,new_coils_value_diff_from_ncv,new_coils_value_pct_diff_from_ncv,total_strip_produced_weight_baseline_ncv,total_strip_produced_weight_diff_from_ncv,total_strip_produced_weight_pct_diff_from_ncv,processed_strip_produced_weight_baseline_ncv,processed_strip_produced_weight_diff_from_ncv,processed_strip_produced_weight_pct_diff_from_ncv,reusable_generated_weight_baseline_ncv,reusable_generated_weight_diff_from_ncv,reusable_generated_weight_pct_diff_from_ncv,total_scrap_weight_baseline_ncv,total_scrap_weight_diff_from_ncv,total_scrap_weight_pct_diff_from_ncv,total_scrap_value_baseline_ncv,total_scrap_value_diff_from_ncv,total_scrap_value_pct_diff_from_ncv,total_loss_weight_baseline_ncv,total_loss_weight_diff_from_ncv,total_loss_weight_pct_diff_from_ncv,total_loss_value_baseline_ncv,total_loss_value_diff_from_ncv,total_loss_value_pct_diff_from_ncv,new_production_rate_baseline_ncv,new_production_rate_diff_from_ncv,new_production_rate_pct_diff_from_ncv,new_reusable_rate_baseline_ncv,new_reusable_rate_diff_from_ncv,new_reusable_rate_pct_diff_from_ncv,new_scrap_rate_baseline_ncv,new_scrap_rate_diff_from_ncv,new_scrap_rate_pct_diff_from_ncv,processed_recovery_rate_baseline_ncv,processed_recovery_rate_diff_from_ncv,processed_recovery_rate_pct_diff_from_ncv,reuse_dependency_rate_baseline_ncv,reuse_dependency_rate_diff_from_ncv,reuse_dependency_rate_pct_diff_from_ncv
NCV,new_coils_value,default,,,,bf_qcv_045,197,1551189.35,8028839.890000001,1517852.87,7855145.62,33.58,177.57999999999998,105.63,547.6899999999999,679.61,3496.2799999999997,16668.49,87078.01999999999,0.0,0.0,16668.49,87078.01999999999,15849.380000000001,82395.85,0.0,0.0,0,3,2,33.58,177.57999999999998,30.18,159.6,3.4,17.98,1517883.0499999998,7855305.22,3,33.58,177.57999999999998,33.58,177.58,33306.51,173535.82,33306.51,173535.82,97.85,0.0,2.15,89.87,10.13,0.0,1551189.35,0.0,0.0,8028839.890000001,0.0,0.0,1517883.0499999998,0.0,0.0,30.18,0.0,0.0,33.58,0.0,0.0,33306.51,0.0,0.0,173535.82,0.0,0.0,33306.51,0.0,0.0,173535.82,0.0,0.0,97.85,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,89.87,0.0,0.0,0.0,0.0,0.0
NCV,new_coils_value,default,,,,bf_sae1006_045,240,2021416.46,10276180.28,1952881.45,9928427.48,5402.71,26862.74,400.26,2024.08,834.26,4233.62,42072.33,213672.53,0.0,0.0,42072.33,213672.53,19825.27,100958.84,0.0,0.0,0,14,14,4063.88,20238.95,3934.82,19596.85,129.06,642.1,1956816.27,9948024.34,17,5402.7,26862.7,5402.71,26862.74,63261.18,321531.17,63261.18,321531.17,96.61,0.27,3.12,96.82,3.18,0.2,2021416.46,0.0,0.0,10276180.28,0.0,0.0,1956816.27,0.0,0.0,3934.82,0.0,0.0,5402.71,0.0,0.0,63261.18,0.0,0.0,321531.17,0.0,0.0,63261.18,0.0,0.0,321531.17,0.0,0.0,96.61,0.0,0.0,0.27,0.0,0.0,3.12,0.0,0.0,96.82,0.0,0.0,0.2,0.0,0.0
NCV,new_coils_value,default,,,,bf_sae1006_050,18,155518.83000000002,803245.4199999999,130267.78,672825.27,11731.6,60593.020000000004,67.68,349.56,77.84,402.03,12077.9,62381.630000000005,10974.470000000001,56682.49,1103.43,5699.139999999999,1295.95,6693.51,0.0,0.0,0,12,12,15543.42,80280.83,12614.259999999998,65151.89,2929.1600000000003,15128.93,142882.04,737977.15,15,22706.08,117275.54000000001,22706.07,117275.51,5474.06,28273.17,5474.06,28273.17,83.76,14.6,1.64,81.15,18.85,8.83,155518.83000000002,0.0,0.0,803245.4199999999,0.0,0.0,142882.04,0.0,0.0,12614.259999999998,0.0,0.0,22706.07,0.0,0.0,5474.06,0.0,0.0,28273.17,0.0,0.0,5474.06,0.0,0.0,28273.17,0.0,0.0,83.76,0.0,0.0,14.6,0.0,0.0,1.64,0.0,0.0,81.15,0.0,0.0,8.83,0.0,0.0
NCV,new_coils_value,default,,,,bz_nbr7008_043,89,753878.7,4308626.98,702330.75,4014238.67,13525.83,76351.9,225.82999999999998,1275.99,292.27,1670.21,30112.88,172978.52000000002,0.0,0.0,30112.88,172978.52000000002,7390.92,42110.44,0.0,0.0,0,28,28,11537.82,65193.44,10167.89,57485.509999999995,1369.93,7707.92,712498.64,4071724.18,34,13525.84,76351.95999999999,13525.83,76351.9,39391.83,225743.08,39391.83,225743.08,93.16,1.79,5.04,88.13,11.87,1.43,753878.7,0.0,0.0,4308626.98,0.0,0.0,712498.64,0.0,0.0,10167.89,0.0,0.0,13525.83,0.0,0.0,39391.83,0.0,0.0,225743.08,0.0,0.0,39391.83,0.0,0.0,225743.08,0.0,0.0,93.16,0.0,0.0,1.79,0.0,0.0,5.04,0.0,0.0,88.13,0.0,0.0,1.43,0.0,0.0
NCV,new_coils_value,default,,,,bz_nbr7008_075,27,184719.33000000002,989220.04,165515.28999999998,886377.4,9342.76,50032.9,72.37,387.57,152.63,817.37,5795.1,31034.27,4126.639999999999,22099.23,1668.46,8935.04,1827.0700000000002,9784.439999999999,2014.08,10785.92,1,22,21,13122.060000000001,70272.04000000001,8783.94,47040.28,4338.12,23231.760000000002,174299.23,933417.69,28,15483.49,82918.11,15483.48,82918.05,8058.65,43156.18,8058.65,43156.18,89.6,8.38,2.01,66.94,33.06,5.04,184719.33000000002,0.0,0.0,989220.04,0.0,0.0,174299.23,0.0,0.0,8783.94,0.0,0.0,15483.48,0.0,0.0,8058.65,0.0,0.0,43156.18,0.0,0.0,8058.65,0.0,0.0,43156.18,0.0,0.0,89.6,0.0,0.0,8.38,0.0,0.0,2.01,0.0,0.0,66.94,0.0,0.0,5.04,0.0,0.0
NCV,new_coils_value,default,,,,bz_nbr7008_095,30,288066.3,1559144.4500000002,273770.42,1481768.71,4924.14,26651.66,250.0,1353.1100000000001,218.28,1181.44,4542.35,24585.239999999998,0.0,0.0,4542.35,24585.239999999998,2865.73,15510.62,1495.3,8093.24,1,12,12,6121.21,33130.75,5583.54,30220.62,537.6700000000001,2910.12,279353.96,1511989.3399999999,13,6419.4400000000005,34744.9,6419.44,34744.9,8414.03,45540.53,8414.03,45540.53,95.04,2.23,2.73,91.22,8.78,2.0,288066.3,0.0,0.0,1559144.4500000002,0.0,0.0,279353.96,0.0,0.0,5583.54,0.0,0.0,6419.44,0.0,0.0,8414.03,0.0,0.0,45540.53,0.0,0.0,8414.03,0.0,0.0,45540.53,0.0,0.0,95.04,0.0,0.0,2.23,0.0,0.0,2.73,0.0,0.0,91.22,0.0,0.0,2.0,0.0,0.0
WL-y2-v2-r2,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2.0,2.0,2.0,bf_qcv_045,199,1550560.9100000001,8025521.9,1517575.03,7853663.75,455.67,2249.21,11.81,58.15,686.39,3532.09,15982.53,83622.12,0.0,0.0,15982.53,83622.12,15849.65,82397.57,0.0,0.0,0,10,10,330.81,1636.72,307.97,1519.3899999999999,22.84,117.31,1517883.0,7855183.16,13,455.67,2249.21,455.67,2249.21,32553.22,169727.24,32553.22,169727.24,97.87,0.03,2.1,93.1,6.9,0.02,1551189.35,-628.4399999999441,-0.04,8028839.890000001,-3317.9900000002235,-0.04,1517883.0499999998,-0.049999999813735485,-0.0,30.18,277.79,920.44,33.58,422.09000000000003,1256.97,33306.51,-753.2900000000009,-2.26,173535.82,-3808.5800000000163,-2.19,33306.51,-753.2900000000009,-2.26,173535.82,-3808.5800000000163,-2.19,97.85,0.020000000000010232,0.02,0.0,0.03,0.0,2.15,-0.04999999999999982,-2.33,89.87,3.2299999999999898,3.59,0.0,0.02,0.0
WL-y2-v2-r2,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2.0,2.0,2.0,bf_sae1006_045,250,2020015.43,10302056.56,1946686.42,9929368.84,11237.8,56423.45,41.08,205.88,857.14,4363.15,40457.619999999995,205794.8,3270.14,16178.85,37187.479999999996,189615.95,19745.08,100847.2,990.01,5051.75,1,21,21,11714.85,58778.36,10129.92,50889.95,1584.93,7888.419999999999,1956816.34,9980258.780000001,29,15497.960000000001,77654.1,15497.95,77654.05,59415.71,302920.6,59415.71,302920.6,96.37,0.77,2.86,86.47,13.53,0.52,2021416.46,-1401.030000000028,-0.07,10276180.28,25876.280000001192,0.25,1956816.27,0.07000000006519258,0.0,3934.82,6195.1,157.44,5402.71,10095.240000000002,186.86,63261.18,-3845.470000000001,-6.08,321531.17,-18610.570000000007,-5.79,63261.18,-3845.470000000001,-6.08,321531.17,-18610.570000000007,-5.79,96.61,-0.23999999999999488,-0.25,0.27,0.5,185.19,3.12,-0.26000000000000023,-8.33,96.82,-10.349999999999994,-10.69,0.2,0.32,160.0
WL-y2-v2-r2,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2.0,2.0,2.0,bf_sae1006_050,17,146465.26,756484.26,126683.54,654312.87,1352.14,6983.7300000000005,0.0,0.0,72.42,374.04,11866.32,61288.82,11278.96,58255.15,587.36,3033.67,1176.22,6075.11,5314.62,27449.69,2,19,19,17446.27,90108.94,16198.5,83664.28,1247.77,6444.66,142882.04,737977.15,21,17945.72,92688.56999999999,17945.72,92688.57,3083.77,15927.48,3083.77,15927.48,86.49,12.25,1.25,92.85,7.15,11.34,155518.83000000002,-9053.570000000007,-5.82,803245.4199999999,-46761.159999999916,-5.82,142882.04,0.0,0.0,12614.259999999998,3584.2400000000016,28.41,22706.07,-4760.3499999999985,-20.97,5474.06,-2390.2900000000004,-43.67,28273.17,-12345.689999999999,-43.67,5474.06,-2390.2900000000004,-43.67,28273.17,-12345.689999999999,-43.67,83.76,2.7299999999999898,3.26,14.6,-2.3499999999999996,-16.1,1.64,-0.3899999999999999,-23.78,81.15,11.699999999999989,14.42,8.83,2.51,28.43
WL-y2-v2-r2,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2.0,2.0,2.0,bz_nbr7008_043,99,768240.1699999999,4397691.1899999995,692563.25,3966177.9,6311.8,36505.38,19.87,108.59,316.78,1815.75,56586.78,321246.44,37005.32,207529.87,19581.46,113716.56999999999,7393.66,42125.41,5047.96,29711.32,4,54,51,38377.36,216549.36,19935.440000000002,114405.59,18441.92,102143.77,712498.69,4080583.5,67,48365.09,273746.63,48365.08,273746.57,45753.69,259910.09,45753.69,259910.09,90.15,6.3,3.56,51.95,48.05,2.8,753878.7,14361.469999999972,1.91,4308626.98,89064.20999999903,2.07,712498.64,0.04999999993015081,0.0,10167.89,9767.550000000003,96.06,13525.83,34839.25,257.58,39391.83,6361.860000000001,16.15,225743.08,34167.01000000001,15.14,39391.83,6361.860000000001,16.15,225743.08,34167.01000000001,15.14,93.16,-3.009999999999991,-3.23,1.79,4.51,251.96,5.04,-1.48,-29.37,88.13,-36.17999999999999,-41.05,1.43,1.3699999999999999,95.8
