scenario,instance,objective,configuration,retail_y_coefficient,retail_v_coefficient,rolled_leftover_coefficient,period,period_number,new_coils_used_count,new_coils_weight,new_coils_value,new_strip_produced_weight,new_strip_produced_value,new_strip_retail_weight,new_strip_retail_value,new_strip_scrap_weight,new_strip_scrap_value,new_strip_loss_weight,new_strip_loss_value,new_lateral_leftover_weight,new_lateral_leftover_value,new_lateral_retail_weight,new_lateral_retail_value,new_lateral_scrap_weight,new_lateral_scrap_value,new_edge_trim_weight,new_edge_trim_value,new_rolled_leftover_weight,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_coils_value,processed_strip_produced_weight,processed_strip_produced_value,processed_scrap_weight,processed_scrap_value,total_strip_produced_weight,total_strip_produced_value,retails_generated_count,retails_generated_weight,retails_generated_value,retails_file_exists,reusable_generated_weight,reusable_generated_value,total_scrap_weight,total_scrap_value,total_loss_weight,total_loss_value,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
NCV,bf_qcv_045,new_coils_value,default,,,,period_1,1,39,311584.93,1613862.22,304651.69,1577741.15,14.27,75.46,7.78,41.23,134.17,690.8,3589.23,18731.58,0.0,0.0,3589.23,18731.58,3187.77,16581.92,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,304651.69,1577741.15,2,14.27,75.46,True,14.27,75.46,6918.95,36045.53,6918.95,36045.53,97.77,0.0,2.22,0.0,0.0,0.0
NCV,bf_qcv_045,new_coils_value,default,,,,period_2,2,35,279699.55,1444375.62,273757.97,1413441.27,0.0,0.0,25.13,128.0,121.75,624.93,2960.84,15479.38,0.0,0.0,2960.84,15479.38,2833.9,14702.25,0.0,0.0,0,2,1,14.27,75.46,12.52,66.21,1.75,9.25,273770.49,1413507.48,0,0.0,0.0,True,0.0,0.0,5943.37,30943.81,5943.37,30943.81,97.88,0.0,2.12,87.74,12.26,0.0
NCV,bf_qcv_045,new_coils_value,default,,,,period_3,3,44,347799.24,1802439.11,340432.24,1763996.3,0.0,0.0,21.96,109.52,150.75,776.64,3615.01,18927.43,0.0,0.0,3615.01,18927.43,3579.34,18629.54,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,340432.24,1763996.3,0,0.0,0.0,True,0.0,0.0,7367.06,38443.13,7367.06,38443.13,97.88,0.0,2.12,0.0,0.0,0.0
NCV,bf_qcv_045,new_coils_value,default,,,,period_4,4,30,236058.33,1225182.81,230663.97,1196976.84,19.31,102.12,41.69,220.96,103.04,531.79,2813.66,14759.46,0.0,0.0,2813.66,14759.46,2416.7,12591.85,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,230663.97,1196976.84,1,19.31,102.12,True,19.31,102.12,5375.09,28104.06,5375.09,28104.06,97.71,0.01,2.28,0.0,0.0,0.0
NCV,bf_qcv_045,new_coils_value,default,,,,period_5,5,49,376047.3,1942980.13,368347.0,1902990.06,0.0,0.0,9.07,47.98,169.9,872.12,3689.75,19180.17,0.0,0.0,3689.75,19180.17,3831.67,19890.29,0.0,0.0,0,1,1,19.31,102.12,17.66,93.39,1.65,8.73,368364.66,1903083.45,0,0.0,0.0,True,0.0,0.0,7702.04,39999.29,7702.04,39999.29,97.95,0.0,2.05,91.46,8.54,0.0
NCV,bf_sae1006_045,new_coils_value,default,,,,period_1,1,46,396260.79,2012079.73,382001.43,1940007.46,2261.78,11190.04,68.5,345.8,160.71,814.45,7866.72,39873.72,0.0,0.0,7866.72,39873.72,3901.6,19847.99,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,382001.43,1940007.46,3,2261.78,11190.04,True,2261.78,11190.04,11997.53,60881.96,11997.53,60881.96,96.4,0.57,3.03,0.0,0.0,0.0
NCV,bf_sae1006_045,new_coils_value,default,,,,period_2,2,48,395592.37,2018344.19,382076.09,1949345.19,625.24,3114.39,119.16,602.86,161.96,824.3,8563.43,43771.91,0.0,0.0,8563.43,43771.91,4046.42,20685.17,0.0,0.0,0,3,3,2261.78,11190.04,2240.61,11085.31,21.17,104.74,384316.7,1960430.5,5,625.24,3114.39,True,625.24,3114.39,12912.14,65988.98,12912.14,65988.98,96.58,0.16,3.26,99.06,0.94,0.58
NCV,bf_sae1006_045,new_coils_value,default,,,,period_3,3,53,441566.54,2243590.09,427122.73,2170267.85,462.68,2299.9,23.97,119.84,183.62,931.55,9482.89,48135.3,0.0,0.0,9482.89,48135.3,4290.64,21835.59,0.0,0.0,0,5,5,625.24,3114.39,605.32,3014.66,19.92,99.73,427728.05,2173282.51,3,462.68,2299.9,True,462.68,2299.9,14001.04,71122.01,14001.04,71122.01,96.73,0.1,3.17,96.81,3.19,0.14
NCV,bf_sae1006_045,new_coils_value,default,,,,period_4,4,36,299894.35,1521639.92,289940.03,1471206.63,714.18,3634.62,108.09,550.12,128.72,652.39,6231.8,31521.93,0.0,0.0,6231.8,31521.93,2771.52,14074.16,0.0,0.0,0,3,3,462.68,2299.9,380.38,1890.5,82.3,409.4,290320.41,1473097.14,3,714.18,3634.62,True,714.18,3634.62,9322.43,47208.0,9322.43,47208.0,96.68,0.24,3.08,82.21,17.79,0.13
NCV,bf_sae1006_045,new_coils_value,default,,,,period_5,5,57,488102.41,2480526.35,471741.17,2397600.35,1338.83,6623.79,80.54,405.46,199.25,1010.93,9927.49,50369.67,0.0,0.0,9927.49,50369.67,4815.09,24515.93,0.0,0.0,0,3,3,714.18,3634.62,708.51,3606.38,5.67,28.23,472449.68,2401206.73,3,1338.82,6623.75,True,1338.83,6623.79,15028.04,76330.22,15028.04,76330.22,96.65,0.27,3.08,99.21,0.79,0.15
NCV,bf_sae1006_050,new_coils_value,default,,,,period_1,1,4,34397.98,177663.5,27000.0,139453.38,3526.29,18213.08,0.0,0.0,16.82,86.87,3568.2,18429.54,3380.11,17458.07,188.09,971.47,286.64,1480.48,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,27000.0,139453.38,4,6906.41,35671.19,True,6906.4,35671.15,491.55,2538.82,491.55,2538.82,78.49,20.08,1.43,0.0,0.0,0.0
NCV,bf_sae1006_050,new_coils_value,default,,,,period_2,2,3,25477.17,131588.05,20071.66,103668.92,3311.1,17101.63,16.92,87.39,13.06,67.45,1852.13,9566.14,1665.67,8603.09,186.46,963.05,212.3,1096.52,0.0,0.0,0,4,4,6906.41,35671.19,5805.41,29984.59,1101.0,5686.6,25877.07,133653.51,3,4976.77,25704.72,True,4976.77,25704.72,1529.74,7901.01,1529.74,7901.01,78.78,19.53,1.68,84.06,15.94,22.43
NCV,bf_sae1006_050,new_coils_value,default,,,,period_3,3,3,26714.96,137981.17,24547.64,126787.09,1630.26,8420.2,0.0,0.0,13.89,71.74,300.54,1552.27,0.0,0.0,300.54,1552.27,222.62,1149.82,0.0,0.0,0,3,3,4976.77,25704.72,4872.4,25165.65,104.37,539.06,29420.04,151952.74,2,1630.26,8420.2,True,1630.26,8420.2,641.42,3312.89,641.42,3312.89,91.89,6.1,2.01,97.9,2.1,16.56
NCV,bf_sae1006_050,new_coils_value,default,,,,period_4,4,3,25477.17,131588.05,23133.91,119485.26,220.18,1137.22,0.0,0.0,13.03,67.3,1897.73,9801.66,1809.8,9347.51,87.93,454.15,212.3,1096.52,0.0,0.0,0,2,2,1630.26,8420.2,440.08,2272.99,1190.18,6147.21,23573.99,121758.24,3,2029.98,10484.72,True,2029.98,10484.73,1503.44,7765.18,1503.44,7765.18,90.8,7.97,1.23,26.99,73.01,1.87
NCV,bf_sae1006_050,new_coils_value,default,,,,period_5,5,5,43451.55,224424.65,35514.57,183430.62,3043.77,15720.89,50.76,262.17,21.04,108.67,4459.3,23032.02,4118.89,21273.82,340.41,1758.2,362.09,1870.17,0.0,0.0,0,3,3,2029.98,10484.72,1496.37,7728.66,533.61,2756.06,37010.94,191159.28,3,7162.66,36994.71,True,7162.66,36994.71,1307.91,6755.27,1307.91,6755.27,81.73,16.48,1.78,73.71,26.29,4.04
NCV,bz_nbr7008_043,new_coils_value,default,,,,period_1,1,17,151043.86,864507.2,141553.72,810005.82,2783.99,16060.46,97.91,548.86,56.44,323.16,5074.13,29133.09,0.0,0.0,5074.13,29133.09,1477.6,8435.42,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,141553.72,810005.82,7,2783.99,16060.46,True,2783.99,16060.46,6706.08,38440.53,6706.08,38440.53,93.72,1.84,4.44,0.0,0.0,0.0
NCV,bz_nbr7008_043,new_coils_value,default,,,,period_2,2,18,140171.16,794619.2,129450.31,734218.89,3025.06,16780.17,51.61,292.75,56.87,321.71,6176.84,35033.95,0.0,0.0,6176.84,35033.95,1410.44,7971.56,0.0,0.0,0,7,7,2783.99,16060.46,2277.22,13149.77,506.77,2910.69,131727.53,747368.66,5,3025.06,16780.17,True,3025.06,16780.17,8202.53,46530.66,8202.53,46530.66,92.35,2.16,5.49,81.8,18.2,1.73
