instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_sae1006_050,period_1,1,78.49,20.63,0.88,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.69,23.43,0.88,92.91,7.09,25.48
bf_sae1006_050,period_3,3,82.95,16.18,0.88,95.12,4.88,19.3
bf_sae1006_050,period_4,4,75.64,23.48,0.88,92.96,7.04,18.26
bf_sae1006_050,period_5,5,88.04,11.08,0.88,94.25,5.75,15.24
bz_nbr7008_095,period_1,1,92.95,5.98,1.07,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,87.85,11.07,1.07,74.84,25.16,4.82
bz_nbr7008_095,period_3,3,91.78,7.15,1.07,83.24,16.76,7.68
bz_nbr7008_095,period_4,4,94.35,4.57,1.08,90.0,10.0,8.11
bz_nbr7008_095,period_5,5,96.79,2.14,1.07,90.79,9.21,2.35
