instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight,retails_generated_avg_weight
bf_sae1006_050,period_1,1,4,34397.98,27000.0,548.88,0.0,15.14,6547.31,286.64,0.0,0,0,0,0.0,0.0,0.0,27000.0,6,7096.19,1182.7
bf_sae1006_050,period_2,2,3,25477.17,19283.78,1107.71,0.0,11.4,4861.97,212.3,0.0,0,6,6,7096.19,6593.29,502.9,25877.07,5,5969.68,1193.94
bf_sae1006_050,period_3,3,3,28622.36,23741.56,828.0,0.0,12.24,3802.03,238.51,0.0,0,5,5,5969.68,5678.46,291.22,29420.02,5,4630.03,926.01
bf_sae1006_050,period_4,4,3,25477.17,19269.73,3403.92,0.0,12.62,2578.59,212.3,0.0,0,5,5,4630.03,4304.26,325.77,23573.99,9,5982.51,664.72
bf_sae1006_050,period_5,5,4,35635.77,31372.17,415.9,0.0,16.88,3533.88,296.96,0.0,0,9,9,5982.51,5638.75,343.76,37010.92,6,3949.78,658.3
bz_nbr7008_095,period_1,1,6,58222.11,54118.12,174.22,0.0,42.07,3305.47,582.22,0.0,0,0,0,0.0,0.0,0.0,54118.12,6,3335.68,555.95
bz_nbr7008_095,period_2,2,6,56058.86,49248.69,3143.36,0.0,41.92,3064.31,560.59,0.0,0,6,6,3335.68,2496.26,839.42,51744.95,6,6073.01,1012.17
bz_nbr7008_095,period_3,3,7,66163.44,60723.74,1719.24,0.0,49.5,3009.32,661.64,0.0,0,6,6,6073.01,5054.89,1018.12,65778.63,6,4255.08,709.18
bz_nbr7008_095,period_4,4,5,45979.57,43382.23,507.2,0.0,35.64,1594.7,459.8,0.0,0,6,6,4255.08,3829.77,425.31,47212.0,5,1567.67,313.53
bz_nbr7008_095,period_5,5,6,61037.96,59077.01,245.31,0.0,43.56,1061.7,610.38,0.0,0,5,5,1567.67,1423.25,144.42,60500.26,4,245.3,61.33
