instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.84,1.06,1.1,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.88,1.06,1.06,0.0,0.0,0.0
bf_qcv_045,period_3,3,97.88,1.04,1.08,80.05,19.95,0.0
bf_qcv_045,period_4,4,97.73,1.19,1.07,65.91,34.09,0.0
bf_qcv_045,period_5,5,97.95,0.99,1.07,0.0,0.0,0.0
bf_sae1006_045,period_1,1,96.53,2.43,1.04,0.0,0.0,0.0
bf_sae1006_045,period_2,2,97.04,1.9,1.06,82.82,17.18,0.36
bf_sae1006_045,period_3,3,96.82,2.16,1.02,94.81,5.19,0.03
bf_sae1006_045,period_4,4,96.67,2.35,0.97,99.15,0.85,0.26
bf_sae1006_045,period_5,5,96.61,2.35,1.04,98.74,1.26,0.29
bf_sae1006_050,period_1,1,78.49,20.62,0.88,0.0,0.0,0.0
bf_sae1006_050,period_2,2,78.78,20.27,0.95,84.06,15.94,22.43
bf_sae1006_050,period_3,3,91.89,7.23,0.89,97.9,2.1,16.56
bf_sae1006_050,period_4,4,90.8,8.31,0.88,26.99,73.01,1.87
bf_sae1006_050,period_5,5,81.73,17.27,1.0,73.71,26.29,4.04
bz_nbr7008_043,period_1,1,94.41,4.55,1.03,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,94.23,4.72,1.05,95.34,4.66,1.27
bz_nbr7008_043,period_3,3,93.62,5.32,1.06,93.2,6.8,0.49
bz_nbr7008_043,period_4,4,93.85,5.11,1.03,59.19,40.81,1.13
bz_nbr7008_043,period_5,5,94.68,4.28,1.03,98.95,1.05,0.14
bz_nbr7008_075,period_1,1,89.46,9.37,1.17,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.74,13.18,1.09,74.49,25.51,7.97
bz_nbr7008_075,period_3,3,94.44,4.48,1.08,84.62,15.38,9.18
bz_nbr7008_075,period_4,4,84.59,14.32,1.08,75.56,24.44,2.73
bz_nbr7008_075,period_5,5,92.76,6.12,1.12,45.29,54.71,5.22
bz_nbr7008_095,period_1,1,95.85,3.04,1.11,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,91.07,7.77,1.16,95.47,4.53,1.34
bz_nbr7008_095,period_3,3,95.02,3.84,1.13,88.35,11.65,4.42
bz_nbr7008_095,period_4,4,96.58,2.1,1.32,93.38,6.62,3.48
bz_nbr7008_095,period_5,5,96.72,2.18,1.09,98.57,1.43,0.57
