instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_edge_trim_value,new_rolled_leftover_value,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value
bf_qcv_045,period_1,1,40,1612833.04,1577695.62,0.0,514.12,707.72,17329.25,16586.51,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_2,2,35,1444436.49,1413513.8,40.94,70.86,624.93,15483.27,14703.11,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_3,3,44,1802452.3,1763967.48,64.83,80.58,776.7,18933.15,18629.89,0.0,1,1,40.94,32.77,8.17
bf_qcv_045,period_4,4,30,1224894.82,1196933.91,0.0,90.64,531.74,14749.93,12588.73,0.0,1,1,64.83,42.73,22.1
bf_qcv_045,period_5,5,48,1943193.13,1902988.91,39.86,81.5,855.79,19335.4,19891.81,0.0,0,0,0.0,0.0,0.0
bf_sae1006_045,period_1,1,47,2009309.18,1939757.29,8309.94,248.63,836.75,40324.54,19831.81,0.0,0,0,0.0,0.0,0.0
bf_sae1006_045,period_2,2,48,2016348.69,1956634.25,656.25,84.26,821.22,37700.99,20451.04,0.0,2,2,8309.94,6883.93,1426.01
bf_sae1006_045,period_3,3,52,2242919.51,2171699.14,3762.06,160.67,916.77,44566.77,21813.88,0.0,5,3,656.25,621.75,34.5
bf_sae1006_045,period_4,4,35,1519561.82,1469156.41,6920.85,16.69,628.89,28695.64,14143.47,0.0,2,2,3762.06,3729.89,32.17
bf_sae1006_045,period_5,5,57,2477002.48,2393228.7,817.32,441.93,997.63,57274.94,24242.1,0.0,5,5,6920.85,6835.1,85.75
bf_sae1006_050,period_1,1,4,177663.5,139453.38,18213.08,0.0,86.87,18429.54,1480.48,0.0,0,0,0.0,0.0,0.0
bf_sae1006_050,period_2,2,3,131588.05,103668.92,17101.63,87.39,67.45,9566.14,1096.52,0.0,4,4,35671.19,29984.59,5686.6
bf_sae1006_050,period_3,3,3,137981.17,126787.09,8420.2,0.0,71.74,1552.27,1149.82,0.0,3,3,25704.72,25165.65,539.06
bf_sae1006_050,period_4,4,3,131588.05,119485.26,1137.22,0.0,67.3,9801.66,1096.52,0.0,2,2,8420.2,2272.99,6147.21
bf_sae1006_050,period_5,5,5,224424.65,183430.62,15720.89,262.17,108.67,23032.02,1870.17,0.0,3,3,10484.72,7728.66,2756.06
bz_nbr7008_043,period_1,1,17,858119.99,810051.31,10077.5,161.12,323.16,29137.72,8368.95,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,17,790134.3,744713.94,4169.59,292.74,321.06,32961.94,7674.91,0.0,8,8,10077.5,9596.05,481.45
bz_nbr7008_043,period_3,3,19,876336.67,820348.23,6903.53,370.6,356.06,39787.43,8570.83,0.0,3,3,4169.59,3872.87,296.72
bz_nbr7008_043,period_4,4,16,693607.77,650751.64,1443.18,346.63,313.04,34270.85,6482.21,0.0,6,6,12354.32,7353.47,5000.85
bz_nbr7008_043,period_5,5,22,1086686.48,1028844.61,3004.14,87.74,409.19,43649.16,10691.37,0.0,2,2,1443.18,1428.03,15.15
bz_nbr7008_075,period_1,1,6,215298.54,192612.42,10152.98,184.6,178.49,10016.96,2153.03,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,5,178772.02,153270.7,10321.62,113.75,153.91,2446.18,1679.84,10785.92,6,6,17823.16,13275.74,4547.42
bz_nbr7008_075,period_3,3,5,187158.95,176751.48,5648.89,0.0,154.12,2732.84,1871.61,0.0,6,6,21107.54,17860.65,3246.89
bz_nbr7008_075,period_4,4,5,180099.48,152354.09,16910.89,0.0,149.09,8884.43,1801.03,0.0,4,4,5648.94,4268.14,1380.8
bz_nbr7008_075,period_5,5,6,227891.05,211388.71,6998.52,89.22,181.76,6953.86,2278.93,0.0,6,5,25692.4,11635.75,14056.65
bz_nbr7008_095,period_1,1,6,305604.03,292911.62,3926.41,112.09,235.77,5362.01,3056.09,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,6,303415.78,276318.29,9719.73,339.63,235.77,5755.82,2953.25,8093.24,4,4,3926.41,3748.66,177.74
bz_nbr7008_095,period_3,3,7,358106.31,340285.82,9513.03,196.26,276.79,4253.21,3581.09,0.0,4,4,17812.97,15737.67,2075.3
bz_nbr7008_095,period_4,4,5,255382.5,246649.78,1878.34,629.36,197.34,3473.76,2553.86,0.0,2,2,9513.03,8882.8,630.23
bz_nbr7008_095,period_5,5,6,336635.83,325603.2,1614.15,75.77,235.77,5740.44,3366.33,0.0,2,2,1878.34,1851.49,26.85
