instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight,retails_generated_avg_weight
bf_qcv_045,period_1,1,40,311290.4,304651.7,0.0,4.59,137.44,3309.08,3187.63,0.0,0,0,0,0.0,0.0,0.0,304651.7,0,0.0,0.0
bf_qcv_045,period_2,2,35,279690.9,273770.5,0.0,3.7,121.76,2961.15,2833.86,0.0,0,0,0,0.0,0.0,0.0,273770.5,0,0.0,0.0
bf_qcv_045,period_3,3,44,347782.02,340432.12,0.0,4.29,150.75,3615.53,3579.22,0.0,0,0,0,0.0,0.0,0.0,340432.12,0,0.0,0.0
bf_qcv_045,period_4,4,30,235998.56,230663.84,0.0,3.36,103.04,2812.28,2416.05,0.0,0,0,0,0.0,0.0,0.0,230663.84,0,0.0,0.0
bf_qcv_045,period_5,5,50,375661.93,368364.65,0.0,5.01,173.09,3287.39,3831.86,0.0,0,0,0,0.0,0.0,0.0,368364.65,0,0.0,0.0
bf_sae1006_045,period_1,1,48,393845.95,382001.47,895.55,11.52,161.63,6895.66,3880.05,0.0,0,0,0,0.0,0.0,0.0,382001.47,3,895.55,298.52
bf_sae1006_045,period_2,2,50,398093.78,383528.43,1159.21,7.08,166.43,9255.54,3976.95,0.0,0,3,3,895.55,788.23,107.32,384316.66,7,3295.14,470.73
bf_sae1006_045,period_3,3,53,438115.15,424833.67,1041.06,9.58,180.67,7763.92,4286.16,0.0,0,7,7,3295.14,2894.4,400.74,427728.07,5,1041.06,208.21
bf_sae1006_045,period_4,4,36,298312.66,289292.31,877.23,3.39,125.75,5158.9,2855.06,0.0,0,5,5,1041.06,1028.05,13.01,290320.36,3,877.23,292.41
bf_sae1006_045,period_5,5,61,488129.58,471633.5,2795.34,4.48,205.53,8612.07,4878.65,0.0,0,3,3,877.23,816.23,61.0,472449.73,5,2795.34,559.07
bf_sae1006_050,period_1,1,4,34397.98,26999.99,138.21,0.0,14.73,6958.4,286.64,0.0,0,0,0,0.0,0.0,0.0,26999.99,6,7096.61,1182.77
bf_sae1006_050,period_2,2,3,25477.17,19232.79,304.27,0.0,10.96,5716.85,212.3,0.0,0,6,6,7096.61,6644.28,452.33,25877.07,5,6021.12,1204.22
bf_sae1006_050,period_3,3,3,25494.64,23690.57,349.89,0.0,13.89,276.02,204.46,959.81,1,5,5,6021.12,5729.46,291.66,29420.03,2,1309.7,654.85
bf_sae1006_050,period_4,4,3,25477.17,22288.13,378.27,0.0,12.62,2585.84,212.3,0.0,0,2,2,1309.7,1285.85,23.85,23573.98,5,2964.11,592.82
bf_sae1006_050,period_5,5,4,35635.77,34396.16,523.23,0.0,18.52,400.9,296.96,0.0,0,5,5,2964.11,2614.79,349.32,37010.95,2,523.23,261.61
bz_nbr7008_043,period_1,1,21,158170.09,141553.75,1006.25,2.65,64.03,13968.06,1575.34,0.0,0,0,0,0.0,0.0,0.0,141553.75,18,12363.4,686.86
bz_nbr7008_043,period_2,2,19,145356.44,128926.66,1506.73,0.0,60.93,13482.68,1379.43,0.0,0,18,15,12363.4,2800.85,9562.55,131727.51,14,12670.51,905.04
bz_nbr7008_043,period_3,3,19,153285.21,140627.77,419.93,11.72,59.12,10637.42,1529.27,0.0,0,14,9,12670.51,3890.7,8779.81,144518.47,12,7992.14,666.01
bz_nbr7008_043,period_4,4,16,123669.6,111836.59,1470.91,8.34,52.36,9135.17,1166.22,0.0,0,12,12,7992.14,2273.29,5718.85,114109.88,11,7982.07,725.64
bz_nbr7008_043,period_5,5,23,191763.65,176004.87,1446.36,1.42,75.8,12423.44,1811.76,0.0,0,11,11,7982.07,4584.25,3397.82,180589.12,13,9349.71,719.21
bz_nbr7008_075,period_1,1,6,40203.19,35966.97,1722.66,0.0,33.33,2078.2,402.04,0.0,0,0,0,0.0,0.0,0.0,35966.97,8,3767.73,470.97
bz_nbr7008_075,period_2,2,5,34205.6,29072.79,2835.72,0.0,27.61,1927.42,342.06,0.0,0,8,8,3767.73,2026.82,1740.91,31099.61,7,4741.92,677.42
bz_nbr7008_075,period_3,3,6,40058.91,33096.3,163.11,0.0,29.73,6369.19,400.6,0.0,0,7,7,4741.92,3244.06,1497.86,36340.36,7,6507.94,929.71
bz_nbr7008_075,period_4,4,5,32807.3,24591.84,3468.91,0.0,25.49,4392.99,328.08,0.0,0,7,6,6507.94,4654.6,1853.34,29246.44,8,7842.68,980.34
bz_nbr7008_075,period_5,5,6,40655.07,35211.56,1689.6,0.0,32.38,3314.99,406.56,0.0,0,8,8,7842.68,6434.33,1408.35,41645.89,8,4973.62,621.7
bz_nbr7008_095,period_1,1,6,58222.11,54118.11,174.22,0.0,42.07,3305.47,582.22,0.0,0,0,0,0.0,0.0,0.0,54118.11,6,3335.68,555.95
bz_nbr7008_095,period_2,2,6,57294.91,49248.67,1155.63,0.0,39.61,6278.05,572.95,0.0,0,6,6,3335.68,2496.26,839.42,51744.93,8,7433.67,929.21
bz_nbr7008_095,period_3,3,7,68199.89,59521.81,2111.51,0.0,47.04,5837.54,682.0,0.0,0,8,8,7433.67,6256.81,1176.86,65778.62,10,7949.05,794.91
bz_nbr7008_095,period_4,4,5,45979.57,40343.3,564.85,0.0,33.33,4578.29,459.8,0.0,0,10,10,7949.05,6868.69,1080.36,47211.99,9,5143.15,571.46
bz_nbr7008_095,period_5,5,6,57673.92,56050.97,138.29,0.0,43.71,864.2,576.74,0.0,0,9,9,5143.15,4449.28,693.87,60500.25,4,138.3,34.58
