instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.85,1.08,1.07,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.87,1.07,1.06,91.07,8.93,0.02
bf_qcv_045,period_3,3,97.88,1.04,1.07,82.32,17.68,0.01
bf_qcv_045,period_4,4,97.73,1.2,1.07,81.43,18.57,0.0
bf_qcv_045,period_5,5,98.05,0.88,1.07,86.78,13.22,0.0
bf_sae1006_045,period_1,1,96.59,2.38,1.02,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.71,2.24,1.04,99.41,0.59,0.59
bf_sae1006_045,period_3,3,96.82,2.15,1.03,99.3,0.7,0.37
bf_sae1006_045,period_4,4,96.68,2.32,1.0,99.06,0.94,0.57
bf_sae1006_045,period_5,5,96.82,2.14,1.03,99.32,0.68,0.28
bf_sae1006_050,period_1,1,78.49,20.79,0.72,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.37,23.93,0.7,97.91,2.09,25.79
bf_sae1006_050,period_3,3,93.0,6.11,0.89,97.78,2.22,19.46
bf_sae1006_050,period_4,4,87.55,11.64,0.81,99.83,0.17,5.38
bf_sae1006_050,period_5,5,94.39,4.72,0.88,98.06,1.94,7.07
bz_nbr7008_043,period_1,1,94.32,4.65,1.02,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,93.45,5.56,0.99,99.16,0.84,1.42
bz_nbr7008_043,period_3,3,93.32,5.66,1.03,97.18,2.82,1.41
bz_nbr7008_043,period_4,4,93.07,5.94,0.99,77.6,22.4,2.53
bz_nbr7008_043,period_5,5,94.2,4.8,1.0,99.56,0.44,1.15
bz_nbr7008_075,period_1,1,89.46,9.45,1.09,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.54,13.38,1.08,54.94,45.06,6.27
bz_nbr7008_075,period_3,3,81.82,17.2,0.98,78.52,21.48,9.81
bz_nbr7008_075,period_4,4,89.7,9.22,1.08,82.71,17.29,19.17
bz_nbr7008_075,period_5,5,83.59,15.42,0.99,59.64,40.36,3.46
bz_nbr7008_095,period_1,1,95.85,3.08,1.08,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,90.99,7.99,1.02,98.6,1.4,1.42
bz_nbr7008_095,period_3,3,94.22,4.73,1.05,97.54,2.46,5.23
bz_nbr7008_095,period_4,4,95.75,3.17,1.08,96.81,3.19,4.42
bz_nbr7008_095,period_5,5,96.44,2.49,1.07,98.38,1.62,1.31
