instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight,retails_generated_avg_weight
bf_qcv_045,period_1,1,40,311386.71,304651.67,0.0,99.13,137.37,3309.98,3188.59,0.0,0,0,0,0.0,0.0,0.0,304651.67,0,0.0,0.0
bf_qcv_045,period_2,2,35,279709.63,273770.51,7.72,14.11,121.75,2961.57,2834.05,0.0,0,0,0,0.0,0.0,0.0,273770.51,1,7.72,7.72
bf_qcv_045,period_3,3,44,347799.82,340426.06,12.26,15.33,150.76,3616.08,3579.39,0.0,0,1,1,7.72,6.18,1.54,340432.24,1,12.26,12.26
bf_qcv_045,period_4,4,30,236003.99,230655.87,0.0,17.14,103.03,2811.86,2416.11,0.0,0,1,1,12.26,8.08,4.18,230663.95,0,0.0,0.0
bf_qcv_045,period_5,5,48,376087.77,368364.62,8.27,15.41,166.83,3700.7,3831.96,0.0,0,0,0,0.0,0.0,0.0,368364.62,2,8.27,4.13
bf_sae1006_045,period_1,1,47,395750.9,382001.42,1677.39,49.78,165.08,7958.46,3898.73,0.0,0,0,0,0.0,0.0,0.0,382001.42,2,1677.39,838.7
bf_sae1006_045,period_2,2,48,394602.88,382927.47,131.77,17.03,160.93,7370.04,3995.51,0.0,0,2,2,1677.39,1389.22,288.17,384316.69,5,131.77,26.35
bf_sae1006_045,period_3,3,52,441662.89,427603.13,760.07,32.12,180.87,8798.05,4288.61,0.0,0,5,3,131.77,124.93,6.84,427728.06,2,760.07,380.04
bf_sae1006_045,period_4,4,35,299529.87,289566.78,1375.48,3.27,124.23,5674.79,2785.35,0.0,0,2,2,760.07,753.63,6.44,290320.41,5,1375.48,275.1
bf_sae1006_045,period_5,5,57,487611.5,471091.49,165.2,87.69,196.71,11306.27,4764.17,0.0,0,5,5,1375.48,1358.21,17.27,472449.7,1,165.2,165.2
bf_sae1006_050,period_1,1,4,34397.98,27000.0,3526.29,0.0,16.82,3568.2,286.64,0.0,0,0,0,0.0,0.0,0.0,27000.0,4,6906.41,1726.6
bf_sae1006_050,period_2,2,3,25477.17,20071.66,3311.1,16.92,13.06,1852.13,212.3,0.0,0,4,4,6906.41,5805.41,1101.0,25877.07,3,4976.77,1658.92
bf_sae1006_050,period_3,3,3,26714.96,24547.64,1630.26,0.0,13.89,300.54,222.62,0.0,0,3,3,4976.77,4872.4,104.37,29420.04,2,1630.26,815.13
bf_sae1006_050,period_4,4,3,25477.17,23133.91,220.18,0.0,13.03,1897.73,212.3,0.0,0,2,2,1630.26,440.08,1190.18,23573.99,3,2029.98,676.66
