instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_edge_trim_value,new_rolled_leftover_value,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value
bf_qcv_045,period_1,1,40,1612388.33,1577701.91,59.38,8.26,708.19,17328.57,16582.0,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_2,2,35,1444274.38,1413454.5,0.0,15.67,624.88,15477.89,14701.41,0.0,1,1,59.38,51.43,7.95
bf_qcv_045,period_3,3,44,1802357.11,1764001.6,0.0,20.07,776.7,18929.98,18629.0,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_4,4,30,1224856.7,1196977.35,0.0,6.68,531.79,14752.84,12588.35,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_5,5,48,1943980.75,1903122.47,0.0,50.09,855.27,20062.06,19890.89,0.0,0,0,0.0,0.0,0.0
bf_sae1006_045,period_1,1,48,2016497.48,1954150.47,890.07,158.16,825.34,35969.81,19849.21,4653.74,0,0,0.0,0.0,0.0
bf_sae1006_045,period_2,2,50,2027986.49,1961830.08,4985.94,43.99,860.08,40001.49,20264.48,0.0,4,4,5543.81,5437.42,106.39
bf_sae1006_045,period_3,3,54,2249531.98,2182365.07,3738.24,69.2,928.06,40043.41,22387.07,0.0,4,4,4985.94,4341.78,644.16
bf_sae1006_045,period_4,4,37,1528801.5,1479823.34,9520.91,17.32,641.52,23749.88,15048.33,0.0,2,2,3738.24,3722.91,15.34
bf_sae1006_045,period_5,5,60,2489207.21,2409985.81,9822.21,27.39,1025.97,43279.77,25065.25,0.0,6,6,9520.86,8862.59,658.27
bf_sae1006_050,period_1,1,4,177663.5,139453.38,49.07,0.0,86.98,15851.2,1306.21,20916.66,0,0,0.0,0.0,0.0
bf_sae1006_050,period_2,2,3,131588.05,99414.25,3499.2,0.0,65.39,11442.1,961.51,16205.62,7,7,36816.93,34239.21,2577.72
bf_sae1006_050,period_3,3,3,131588.05,122484.23,2414.45,0.0,69.62,5523.23,1096.52,0.0,6,6,31146.91,29468.51,1678.4
bf_sae1006_050,period_4,4,3,131588.05,115313.95,1794.09,0.0,65.18,13318.26,1096.52,0.0,3,3,6974.63,6444.24,530.39
bf_sae1006_050,period_5,5,4,188200.81,177813.75,6605.8,0.0,95.65,2117.26,1568.28,0.0,5,5,15112.36,13345.53,1766.82
bz_nbr7008_043,period_1,1,18,856929.69,809559.11,9331.25,7.66,339.22,29314.95,8377.34,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,17,790902.19,746117.38,4052.63,32.11,321.06,32736.98,7641.98,0.0,8,8,9331.25,9203.83,127.42
bz_nbr7008_043,period_3,3,18,883944.29,825788.09,13394.97,70.79,347.95,35833.81,8508.58,0.0,6,6,4052.63,4013.85,38.78
bz_nbr7008_043,period_4,4,15,703731.13,644819.96,7108.85,47.27,295.55,44993.59,6465.97,0.0,7,7,21098.47,17110.81,3987.67
bz_nbr7008_043,period_5,5,22,1086990.11,1020886.23,2953.96,57.07,436.66,52539.5,10116.69,0.0,10,10,32577.37,24294.62,8282.76
bz_nbr7008_075,period_1,1,6,215298.54,192612.53,3653.41,0.0,179.67,8804.26,2073.29,7975.54,0,0,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,5,179048.78,153442.87,0.0,33.2,149.25,6250.61,1614.93,17557.81,11,11,20292.63,13103.73,7188.9
bz_nbr7008_075,period_3,3,5,187330.58,175274.13,3169.19,37.33,150.48,6826.03,1873.32,0.0,5,5,23651.56,19337.84,4313.72
bz_nbr7008_075,period_4,4,5,180099.48,150436.59,17226.16,0.0,147.86,10487.85,1801.03,0.0,6,6,9836.22,6185.59,3650.63
bz_nbr7008_075,period_5,5,6,230211.7,201202.26,18145.28,0.0,180.53,8381.52,2302.12,0.0,7,7,27614.29,21822.26,5792.04
bz_nbr7008_095,period_1,1,6,305604.03,292911.62,4040.66,0.0,235.77,5359.84,3056.09,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,6,303415.78,276074.52,1363.61,0.0,235.77,5149.08,2856.8,17735.9,4,4,4040.66,3992.33,48.33
bz_nbr7008_095,period_3,3,7,358106.31,337251.76,5784.34,0.0,271.54,11217.46,3581.09,0.0,4,4,19099.51,18771.78,327.72
bz_nbr7008_095,period_4,4,5,254454.59,244415.85,3772.48,0.0,197.34,3524.37,2544.61,0.0,4,4,13659.67,11116.79,2542.88
bz_nbr7008_095,period_5,5,6,336635.83,323773.73,3477.12,0.0,235.77,5782.77,3366.33,0.0,7,7,3772.53,3680.84,91.69
